"ID";"COMPANYTYPECATALOGID";"COMPANYTYPECODE";"SHORTNAME";"NAME"
99;100;"P";"Omega Pharma Deutschland GmbH";"Omega Pharma Deutschland GmbH"
105;100;"P";"Alcon Pharma GmbH";"Alcon Pharma GmbH Geschäftsbereich Vision Care"
108;100;"P";"Combustin";"Combustin pharmazeutische Präparate GmbH"
114;100;"P";"delta pronatura";"delta pronatura Dr. Krauss & Dr. Beckmann KG"
121;100;"P";"Dentinox";"Dentinox Gesellschaft für pharm. Präparate Lenk & Schuppan KG"
122;100;"P";"Desitin Arzneimittel";"Desitin Arzneimittel GmbH"
124;100;"P";"DHU";"DHU-Arzneimittel GmbH & Co. KG"
138;100;"P";"Schwarzwald-Apotheke Schonach";"Schwarzwald-Apotheke Schonach Dr. Dirk Häfner"
139;100;"P";"Dreluso";"Dreluso Pharmazeutika Dr. Elten & Sohn GmbH"
152;100;"P";"Eifelfango";"Eifelfango, Chem.-Pharm. Werke GmbH & Co. KG"
154;100;"P";"Engelhard";"Engelhard Arzneimittel GmbH & Co.KG"
158;100;"P";"Eurim-Pharm";"Eurim-Pharm Arzneimittel GmbH"
159;100;"P";"Falk";"Dr. Falk Pharma GmbH"
160;100;"P";"Farco-Pharma";"FARCO-PHARMA GmbH"
164;100;"P";"Febena Pharma";"Febena Pharma GmbH"
165;100;"P";"Feldhoff";"W. Feldhoff & Comp. Arzneimittel GmbH"
168;100;"P";"Ferring Arzneimittel GmbH";"Ferring Arzneimittel GmbH"
170;100;"P";"GlaxoSmithKline Consumer Healthcare";"GlaxoSmithKline Consumer Healthcare GmbH & Co. KG - Consumer Products"
175;100;"P";"FRESENIUS KABI";"FRESENIUS KABI Deutschland GmbH"
185;100;"P";"Gerlach";"Eduard Gerlach GmbH"
189;100;"P";"GlaxoSmithKline";"GlaxoSmithKline GmbH & Co. KG"
190;100;"P";"Glenwood";"Glenwood GmbH"
194;100;"P";"Grünenthal";"Grünenthal GmbH"
197;100;"P";"HAL ALLERGIE";"HAL ALLERGIE GMBH"
199;100;"P";"Hanosan";"Hanosan GmbH Pharmazeutische Fabrik"
201;100;"P";"Hartmann";"Paul Hartmann AG"
206;100;"P";"Heel";"Biolog. Heilmittel Heel GmbH"
214;100;"P";"HENNIG ARZNEIMITTEL";"HENNIG ARZNEIMITTEL GmbH & Co KG"
215;100;"P";"Henning Berlin";"Henning Berlin Arzneimittel GmbH"
219;100;"P";"Almirall Hermal GmbH";"Almirall Hermal GmbH"
223;100;"P";"Heumann";"Heumann Pharma GmbH & Co. Generica KG"
224;100;"P";"Hevert";"Hevert-Arzneimittel GmbH & Co KG"
225;100;"P";"Hexal AG";"Hexal AG"
226;100;"P";"Heyl";"Heyl Chem.-pharm. Fabrik GmbH & Co. KG"
231;100;"P";"Hormosan Pharma";"Hormosan Pharma GmbH"
236;100;"P";"Ichthyol";"ICHTHYOL-GESELLSCHAFT Cordes, Hermanni & Co. (GmbH & Co.) KG"
240;100;"P";"InfectoPharm";"InfectoPharm Arzneimittel u. Consilium GmbH"
241;100;"P";"Zambon";"Zambon GmbH"
246;100;"P";"Intersero";"Intersero GmbH"
248;100;"P";"ISO";"ISO-Arzneimittel GmbH & Co.KG"
249;100;"P";"Servier";"Servier Deutschland GmbH"
251;100;"P";"Janssen-Cilag";"Janssen-Cilag GmbH"
255;100;"P";"Kade";"DR. KADE Pharmazeutische Fabrik GmbH"
259;100;"P";"Kattwiga";"Kattwiga Arzneimittel GmbH"
262;100;"P";"PUREN Pharma";"PUREN Pharma GmbH & Co. KG"
265;100;"P";"Klosterfrau";"MCM Klosterfrau Vertriebsgesellschaft mbH"
267;100;"P";"Köhler Chemie";"Dr. Franz Köhler Chemie GmbH"
268;100;"P";"Köhler Pharma";"Köhler Pharma GmbH"
270;100;"P";"Kreussler";"Kreussler & Co. GmbH, Chemische Fabrik"
271;100;"P";"Krewel Meuselbach";"Krewel Meuselbach GmbH"
277;100;"P";"Laves";"Laves-Arzneimittel GmbH"
279;100;"P";"Zentiva Pharma GmbH";"Zentiva Pharma GmbH"
281;100;"P";"Lilly";"Lilly Deutschland GmbH"
282;100;"P";"Linden";"Linden Arzneimittel-Vertrieb GmbH"
288;100;"P";"Lohmann & Rauscher";"Lohmann & Rauscher GmbH & Co. KG"
289;100;"P";"Lomapharm";"Lomapharm, Rudolf Lohmann GmbH KG"
290;100;"P";"Daiichi Sankyo Deutschland";"Daiichi Sankyo Deutschland GmbH"
304;100;"P";"Mann";"Dr. Gerhard Mann, Chem.-pharm. Fabrik GmbH"
306;100;"P";"Mauermann";"Mauermann-Arzneimittel KG"
310;100;"P";"Loges";"Dr. Loges + Co GmbH"
313;100;"P";"Medice";"Medice Arzneimittel Pütter GmbH & Co. KG"
318;100;"P";"medac";"medac Gesellschaft für klinische Spezialpräparate mbH"
323;100;"P";"Recordati Pharma GmbH";"Recordati Pharma GmbH"
325;100;"P";"Merz Pharmaceuticals GmbH";"Merz Pharmaceuticals GmbH"
326;100;"P";"meta Fackler";"meta Fackler Arzneimittel GmbH"
328;100;"P";"Mickan";"Mickan Arzneimittel GmbH"
334;100;"P";"MSD";"MSD Sharp & Dohme GmbH"
336;100;"P";"Mucos";"Mucos Pharma GmbH & Co. KG"
337;100;"P";"Müller Göppingen";"Chemisch-Pharmazeutische Fabrik Göppingen, Carl Müller Apotheker, GmbH u. Co. KG"
339;100;"P";"Mundipharma";"Mundipharma GmbH"
345;100;"P";"Nestlé Health Science (Deutschland) GmbH";"Nestle Health Science (Deutschland) GmbH"
346;100;"P";"neuraxpharm";"neuraxpharm Arzneimittel GmbH"
348;100;"P";"Guerbet";"Guerbet GmbH"
351;100;"P";"Norgine";"Norgine GmbH"
354;100;"P";"Novo Nordisk Pharma GmbH";"Novo Nordisk Pharma GmbH"
359;100;"P";"Optima";"Optima Pharmazeutische GmbH"
360;100;"P";"OPTOSOL";"OPTOSOL, Chemische Produkte GmbH"
368;100;"P";"Pascoe";"Pascoe pharmazeutische Präparate GmbH"
376;100;"P";"Pfizer Pharma GmbH";"Pfizer Pharma GmbH"
377;100;"P";"Pfleger";"Dr. Pfleger Arzneimittel GmbH"
380;100;"P";"Johnson & Johnson Vision AMO Germany GmbH";"Johnson & Johnson Vision AMO Germany GmbH"
397;100;"P";"Pharno-Wedropharm";"Pharno-Wedropharm GmbH"
398;100;"P";"PHÖNIX";"PHÖNIX Laboratorium GmbH"
401;100;"P";"G. Pohl-Boskamp GmbH & Co. KG";"G. Pohl-Boskamp GmbH & Co. KG"
403;100;"P";"Lundbeck";"Lundbeck GmbH"
404;100;"P";"Protina";"Protina Pharmazeutische Gesellschaft mbH"
406;100;"P";"ratiopharm";"ratiopharm GmbH"
408;100;"P";"Cesra";"Cesra Arzneimittel GmbH & Co. KG"
412;100;"P";"Repha";"Repha GmbH"
413;100;"P";"Retterspitz";"Retterspitz GmbH"
419;100;"P";"Ritsert";"Dr. Ritsert Pharma GmbH u. Co KG"
420;100;"P";"Pierre Fabre Pharma";"Pierre Fabre Pharma GmbH"
421;100;"P";"Robugen";"Robugen GmbH, Pharmazeutische Fabrik"
422;100;"P";"Roche";"Roche Pharma AG"
426;100;"P";"roha";"roha arzneimittel GmbH"
431;100;"P";"S & K Pharma";"S & K Pharma Schumann und Kohl GmbH"
432;100;"P";"Fatol";"Fatol Arzneimittel GmbH"
443;100;"P";"Schaper & Brümmer";"Schaper & Brümmer GmbH & Co. KG"
444;100;"P";"ALK-Abelló Arzneimittel";"ALK-Abelló Arzneimittel GmbH"
452;100;"P";"Schuck";"Schuck GmbH"
453;100;"P";"Schülke & Mayr";"Schülke & Mayr GmbH"
459;100;"P";"Schwarzwälder";"Schwarzwälder Natur-Heilmittel"
462;100;"P";"Serag-Wiessner";"Serag-Wiessner GmbH & Co. KG"
466;100;"P";"SIEMENS";"SIEMENS & Co"
471;100;"P";"Bristol-Myers Squibb";"Bristol-Myers Squibb GmbH & Co. KGaA"
474;100;"P";"Steierl";"Steierl-Pharma GmbH"
477;100;"P";"Stiefel";"Stiefel GmbH & Co. KG"
480;100;"P";"Strath-Labor";"Strath-Labor GmbH"
481;100;"P";"Strathmann";"Strathmann GmbH & Co. KG"
482;100;"P";"Pharma Stulln GmbH";"Pharma Stulln GmbH"
483;100;"P";"Südmedica";"Südmedica GmbH, Chem.-pharmazeutische Fabrik"
485;100;"P";"SymbioPharm";"SymbioPharm GmbH"
489;100;"P";"TAD Pharma GmbH";"TAD Pharma GmbH"
494;100;"P";"Temmler Pharma";"Temmler Pharma GmbH"
501;100;"P";"Töpfer";"Töpfer GmbH"
502;100;"P";"Togal";"Togal Werk AG"
505;100;"P";"Trommsdorff";"Trommsdorff GmbH & Co. KG"
509;100;"P";"UCB Pharma";"UCB Pharma GmbH"
512;100;"P";"Ursapharm";"Ursapharm Arzneimittel GmbH"
514;100;"P";"Verla-Pharm";"Verla-Pharm Arzneimittel GmbH & Co KG"
515;100;"P";"vitOrgan";"vitOrgan Arzneimittel GmbH"
516;100;"P";"Weber & Weber";"Weber & Weber GmbH & Co. KG"
518;100;"P";"Wala";"WALA Heilmittel GmbH"
524;100;"P";"Weleda";"Weleda AG"
528;100;"P";"Procter & Gamble GmbH";"Procter & Gamble GmbH"
530;100;"P";"Wiedemann";"Wiedemann Pharma GmbH"
532;100;"P";"Winzer";"Dr. Winzer Pharma GmbH"
535;100;"P";"McNeil";"McNeil GmbH & Co. oHG"
536;100;"P";"WÖRWAG";"WÖRWAG Pharma GmbH & Co. KG"
537;100;"P";"Wolff";"Dr. August Wolff GmbH & Co. KG Arzneimittel"
542;100;"P";"Zilly";"Fritz Zilly GmbH"
550;100;"P";"Menicon";"Menicon GmbH Kontaktlinsen"
556;100;"P";"Ysatfabrik";"Johannes Bürger Ysatfabrik GmbH"
561;100;"P";"Pharmacia GmbH";"Pharmacia GmbH"
563;100;"P";"gepepharm GmbH";"gepepharm GmbH"
566;100;"P";"Galderma";"Galderma Laboratorium GmbH"
568;100;"P";"La Roche-Posay";"L Oreal Deutschland GmbH Geschäftsbereich La Roche-Posay"
570;100;"P";"Rotexmedica";"Rotexmedica GmbH Arzneimittelwerk"
571;100;"P";"Dibropharm";"Dibropharm GmbH Distribution & Co. KG"
573;100;"P";"Evers";"Evers GmbH & Co KG, Pharmazeutische Fabrik"
576;100;"P";"RIEMSER";"RIEMSER Pharma GmbH"
579;100;"P";"Bad Heilbrunner";"Bad Heilbrunner Naturheilmittel GmbH & Co. KG"
582;100;"P";"Kyowa Kirin GmbH";"Kyowa Kirin GmbH"
587;100;"P";"Dronania";"Dronania pharmaceuticals GmbH"
588;100;"P";"Eberth";"Dr. Friedrich Eberth Arzneimittel GmbH"
591;100;"P";"Infirmarius";"Infirmarius GmbH"
595;100;"P";"Helixor Heilmittel";"Helixor Heilmittel GmbH"
607;100;"P";"Pflüger";"Homöopathisches Laboratorium Alexander Pflüger GmbH & Co. KG"
608;100;"P";"Pharma Liebermann";"Pharma Liebermann GmbH"
613;100;"P";"Pharma Schwörer GmbH";"Pharma Schwörer GmbH"
615;100;"P";"Syxyl";"Syxyl GmbH & Co. KG"
617;100;"P";"Kneipp";"Kneipp GmbH"
622;100;"P";"GALENpharma";"GALENpharma GmbH"
625;100;"P";"pharma-stern";"pharma-stern GmbH"
636;100;"P";"Nestmann";"Nestmann Pharma GmbH"
637;100;"P";"Pierre Fabre Dermo-Kosmetik";"Pierre Fabre Dermo-Kosmetik GmbH GB - Avene und Beautycare"
640;100;"P";"ABNOBA";"ABNOBA GmbH"
645;100;"P";"Galactopharm";"Galactopharm Dr. Sanders GmbH & Co. KG"
646;100;"P";"Harras Pharma Curarina";"Harras Pharma Curarina Arzneimittel GmbH"
651;100;"P";"Orion Pharma";"Orion Pharma GmbH"
658;100;"P";"Pharma-Biologica";"Pharma-Biologica GmbH"
661;100;"P";"REGENAPLEX";"REGENAPLEX GmbH"
662;100;"P";"Pekana";"PEKANA-NATURHEILMITTEL® GmbH"
663;100;"P";"Reckeweg";"Dr. Reckeweg & Co. GmbH Pharmazeutische Fabrik"
666;100;"P";"Staufen-Pharma";"Staufen-Pharma GmbH & Co. KG"
670;100;"P";"Astrid Twardy";"Astrid Twardy GmbH"
671;100;"P";"Alsitan";"Alsitan GmbH"
673;100;"P";"Polypharm";"Polypharm GmbH"
676;100;"P";"Amgen";"Amgen GmbH"
677;100;"P";"Nephrologische Präparate Dr. Volker Steudle";"Nephrologische Präparate Dr. Volker Steudle"
680;100;"P";"Dermapharm";"Dermapharm AG"
686;100;"P";"Widmer";"Louis Widmer GmbH"
689;100;"P";"medphano";"medphano Arzneimittel GmbH"
698;100;"P";"Tussin Pharma";"Tussin Pharma GmbH"
701;100;"P";"Dyckerhoff";"Dyckerhoff Pharma GmbH & Co. KG"
703;100;"P";"Gothaplast";"Gothaplast Verbandpflasterfabrik GmbH"
705;100;"P";"LEO";"LEO Pharma GmbH"
717;100;"P";"Kade/Besins";"DR. KADE/BESINS Pharma GmbH"
718;100;"P";"curasan AG";"curasan AG"
726;100;"P";"Hermes";"Hermes Arzneimittel GmbH"
734;100;"P";"Merck Selbstmedikation";"Merck Selbstmedikation GmbH"
737;100;"P";"Holsten Pharma";"Holsten Pharma GmbH"
751;100;"P";"Jukunda";"Jukunda Dr. Ludwig Schmitt GmbH & Co. KG"
752;100;"P";"Holthaus";"Holthaus Medical GmbH & Co. KG"
760;100;"P";"SALUS Pharma GmbH";"SALUS Pharma GmbH"
761;100;"P";"STADAPHARM";"STADAPHARM GmbH"
762;100;"P";"Sanorell";"Sanorell Pharma GmbH & Co KG"
765;100;"P";"betapharm";"betapharm Arzneimittel GmbH"
767;100;"P";"acis";"acis Arzneimittel GmbH"
792;100;"P";"Olbas";"Deutsche Olbas GmbH"
797;100;"P";"Rodisma-Med";"Rodisma-Med Pharma GmbH"
798;100;"P";"Beethoven-Pharma Dr. Wiemann";"Beethoven-Pharma Dr. Wiemann GmbH"
809;100;"P";"PG-Naturpharma";"PG-Naturpharma GmbH"
813;100;"P";"Pfizer Consumer Healthcare";"Pfizer Consumer Healthcare GmbH"
819;100;"P";"Penta Arzneimittel";"Penta Arzneimittel GmbH"
829;100;"P";"Dr. K. Hollborn";"Dr. K. Hollborn & Söhne GmbH & Co KG"
842;100;"P";"Teclapharm";"Teclapharm GmbH"
861;100;"P";"DEXCEL Pharma GmbH";"DEXCEL Pharma GmbH"
881;100;"P";"AbZ-Pharma";"AbZ-Pharma GmbH"
886;100;"P";"ALLERGIKA Pharma GmbH";"ALLERGIKA Pharma GmbH"
887;100;"P";"Mylan dura";"Mylan dura GmbH"
889;100;"P";"CSL Behring";"CSL Behring GmbH"
896;100;"P";"Fette Pharma AG";"Fette Pharma AG"
906;100;"P";"Spenglersan";"Spenglersan GmbH Pharmazeutische Präparate"
916;100;"P";"Artegodan";"Artegodan GmbH"
927;100;"P";"Bauerfeind Orthopädie";"Bauerfeind AG Geschäftsbereich Orthopädie"
928;100;"P";"DEVESA";"DEVESA Dr. Reingraber GmbH & Co. KG"
932;100;"P";"Ipsen Pharma";"Ipsen Pharma GmbH"
936;100;"P";"Mylan Healthcare GmbH";"Mylan Healthcare GmbH"
946;100;"P";"Novartis Pharma";"Novartis Pharma GmbH"
950;100;"P";"Drossapharm";"Drossapharm GmbH"
952;100;"P";"Euro OTC";"Euro OTC Pharma GmbH"
955;100;"P";"Biogen GmbH";"Biogen GmbH"
956;100;"P";"RubiePharm";"RubiePharm Vertriebs GmbH"
963;100;"P";"Eisai";"Eisai GmbH"
964;100;"P";"1 A Pharma GmbH";"1 A Pharma GmbH"
965;100;"P";"sigma-tau";"sigma-tau Arzneimittel GmbH"
976;100;"P";"MIP Pharma";"MIP Pharma GmbH"
977;100;"P";"mibe";"mibe GmbH"
981;100;"P";"Carl Zeiss Meditec AG";"Carl Zeiss Meditec AG"
10069;100;"P";"Pharma Wernigerode";"Pharma Wernigerode GmbH"
10071;100;"P";"esparma";"esparma  GmbH"
10076;100;"P";"Serumwerk Bernburg AG";"Serumwerk Bernburg AG"
10086;100;"P";"Jenapharm";"Jenapharm GmbH & Co. KG"
10094;100;"P";"Apogepha";"APOGEPHA Arzneimittel GmbH"
10095;100;"P";"Li-iL";"Li-iL GmbH"
10107;100;"P";"Berlin-Chemie";"Berlin-Chemie AG"
10109;100;"P";"Octapharma";"Octapharma GmbH"
10111;100;"P";"Shire";"Shire Deutschland GmbH"
10116;100;"P";"KSK-Pharma";"KSK-Pharma Vertriebs AG"
10120;100;"P";"kohlpharma";"kohlpharma GmbH"
10121;100;"P";"MTK Pharma";"MTK Pharma Vertriebs GmbH"
10122;100;"P";"Laboklinika";"Laboklinika Produktions- und Vertriebsgesellschaft mbH"
10123;100;"P";"Emra-Med";"Emra-Med Arzneimittel GmbH"
10126;100;"P";"Orifarm GmbH";"Orifarm GmbH"
10127;100;"P";"EYE CARE";"Eye Care Kirsten Schroeder E.K."
10130;100;"P";"Weko-Pharma";"Weko-Pharma GmbH"
10134;100;"P";"Johnson & Johnson - CHC";"Johnson & Johnson GmbH - CHC"
10138;100;"P";"Pharma Peter";"Pharma Peter GmbH"
10141;100;"P";"Obstsaftkelterei Josef Möller";"Obstsaftkelterei Josef Möller GmbH & Co. KG"
10144;100;"P";"BDS";"BDS GmbH"
10148;100;"P";"ACA Müller";"A.C.A. Müller ADAG Pharma AG"
10151;100;"P";"Pharma Gerke Arzneimittelvertriebs GmbH";"Pharma Gerke Arzneimittelvertriebs GmbH"
10152;100;"P";"Beragena";"Beragena Arzneimittel GmbH"
10158;100;"P";"Nutricia";"Nutricia GmbH"
10162;100;"P";"Mevita";"Mevita Handels GmbH"
10166;100;"P";"H&S Tee";"H&S Tee-Gesellschaft mbH & Co. KG"
10174;100;"P";"Abbott Diabetes Care";"Abbott Diabetes Care Abbott GmbH & Co. KG"
10177;100;"P";"MIT Gesundheit GmbH";"MIT Gesundheit GmbH"
10182;100;"P";"Sunstar";"Sunstar Deutschland GmbH"
10186;100;"P";"Apomix PKH";"Apomix PKH Pharm. Labor GmbH"
10194;100;"P";"Seratec";"Seratec Gesellschaft für Biotechnologie mbH"
10205;100;"P";"Aframed";"Aframed GmbH Pharmazeutische Präparate"
10211;100;"P";"Queisser Pharma";"Queisser Pharma GmbH & Co. KG"
10215;100;"P";"Hipp";"Hipp GmbH & Co. Vertrieb KG"
10223;100;"P";"Cancernova";"Cancernova GmbH"
10230;100;"P";"Lyomark";"Lyomark Pharma GmbH"
10242;100;"P";"Resorba";"Resorba Medical GmbH"
10243;100;"P";"Ribosepharm division";"Ribosepharm division Hikma Pharma GmbH"
10245;100;"P";"Bayer Vital GmbH";"Bayer Vital GmbH Selbstmedikations-/Consumer-Care-Prod."
10252;100;"P";"proVita";"proVita GmbH Apotheken-Marketing und -Handels GmbH"
10254;100;"P";"Sanum-Kehlbeck";"Sanum-Kehlbeck GmbH & Co. KG"
10264;100;"P";"KyraMed";"KyraMed Biomol Naturprodukte GmbH"
10269;100;"P";"Schupp";"Schupp GmbH & Co. KG Med. Badezusätze, Körperpflegemittel"
10270;100;"P";"Bergland-Pharma";"Bergland-Pharma GmbH & Co. KG"
10280;100;"P";"Kremer";"Friedrich KREMER jr. Biolog. Pharmazeutika u. Praxisbedarf"
10288;100;"P";"A-1 Dental";"A-1 Dental Beyer + Hämmerich"
10296;100;"P";"Alhopharm";"Alhopharm Arzneimittel GmbH"
10300;100;"P";"ALLPHARM";"ALLPHARM Vertriebs-GmbH"
10310;100;"P";"AURICA";"AURICA Naturheilmittel u. Naturwaren GmbH"
10330;100;"P";"Bindergass";"Bindergass-Apotheke"
10331;100;"P";"Bio-Diät-Berlin GmbH";"Bio-Diät-Berlin GmbH"
10335;100;"P";"BIOSUN";"BIOSUN GmbH"
10338;100;"P";"Biscova";"Biscova-Arzneimittel Vertrieb pharm. Präparate"
10346;100;"P";"Caesar & Loretz GmbH";"Caesar & Loretz GmbH"
10350;100;"P";"China Agentur";"China Arzneimittel Agentur Deonal GmbH & Co. Verwaltungs KG"
10358;100;"P";"docpharm®";"docpharm® Arzneimittelvertrieb GmbH & Co. KGaA"
10382;100;"P";"Henning/Walldorf";"Dr. Georg Friedrich Henning Chemische Fabrik Walldorf GmbH"
10387;100;"P";"Gudjons";"Gudjons GmbH"
10388;100;"P";"Homviora";"Homviora-Arzneimittel Dr. Hagedorn GmbH & Co."
10393;100;"P";"TRB Chemedica";"TRB Chemedica AG"
10405;100;"P";"KREPHA";"KREPHA GmbH & Co. KG"
10413;100;"P";"Lühr-Lehrs";"A. Lühr-Lehrs Arzneimittel und Präventivprodukte"
10416;100;"P";"Makolpharm";"Makolpharm Arzneimittel GmbH"
10422;100;"P";"Meripharm";"Meripharm GmbH Arzneimittelvertrieb"
10437;100;"P";"Dr. Niedermaier Pharma";"Dr. Niedermaier Pharma GmbH"
10446;100;"P";"Langer";"Langer Pharma Handels- und Vertriebs GmbH"
10457;100;"P";"Poehlmann";"Dr. Poehlmann & Co. GmbH"
10475;100;"P";"Soluna";"Laboratorium Soluna Heilmittel GmbH"
10479;100;"P";"Scheffler";"Dr. Bruno Scheffler Nachf. GmbH & Co. KG"
10482;100;"P";"Schloss Apotheke";"Schloss-Apotheke"
10486;100;"P";"Schützen Apotheke";"Schützen-Apotheke Apotheker Fasching eingetragener Kaufmann"
10495;100;"P";"Orphan Europe Germany GmbH";"Orphan Europe Germany GmbH"
10503;100;"P";"Baxter";"Baxter Deutschland GmbH Medication Delivery"
10508;100;"P";"GILEAD";"GILEAD Sciences GmbH"
10509;100;"P";"Vaniplan";"Vaniplan-Pharma GmbH"
10512;100;"P";"VOCO";"VOCO GmbH"
10514;100;"P";"allcura";"allcura Naturheilmittel GmbH"
10517;100;"P";"WIGOPHARM";"WIGOPHARM GmbH"
10521;100;"P";"JURA";"JURA Pharmazeutische Fabrik Gollwitzer KG"
10523;100;"P";"Brinkmann";"Brinkmann Medical Dr. Junghans Medical GmbH"
10530;100;"P";"Apomix AMH Niemann";"Apomix AMH Niemann GmbH & Co. KG"
10532;100;"P";"Bombastus";"Bombastus-Werke AG"
10545;100;"P";"Merz Consumer Care";"Merz Consumer Care GmbH"
10574;100;"P";"Aalborg";"Aalborg Pharma GmbH"
10576;100;"P";"Stallergenes";"Stallergenes GmbH"
10580;100;"P";"Arnimont Pharma";"Arnimont Pharma Niederlassung Österreich"
10587;100;"P";"Arnimont Pharma";"Arnimont Pharma GmbH"
10600;100;"P";"Bärenstein Pharma";"Bärenstein Pharma GmbH"
10601;100;"P";"GK Marketing";"GK Marketing & Sales GmbH"
10608;100;"P";"Biokanol";"Biokanol® Pharma GmbH"
10626;100;"P";"Care Diagnostica";"Care Diagnostica Laborreagenzien GmbH"
10633;100;"P";"Brücken-Lab.";"Brücken-Laboratorium"
10634;100;"P";"Plantatrakt";"Plantatrakt GmbH"
10662;100;"P";"Dentsply Detray";"Dentsply Detray GmbH"
10666;100;"P";"Diamant Natuur (D)";"Diamant Natuur B.V. (D)"
10668;100;"P";"Diamant Natuur B.V.";"Diamant Natuur B.V."
10683;100;"P";"PHARMA-LABOR";"PHARMA-LABOR Apotheker H. Förster GmbH"
10690;100;"P";"3M Deutschland GmbH";"3M Deutschland GmbH"
10702;100;"P";"Fima";"Fima pharmaz. Laboratorium"
10705;100;"P";"Foliapharm";"Foliapharm GmbH"
10725;100;"P";"G&P Naturarznei";"G & P Naturarznei GmbH"
10746;100;"P";"Reckitt Benckiser Deutschland GmbH";"Reckitt Benckiser Deutschland GmbH"
10760;100;"P";"Infai";"Infai GmbH"
10761;100;"P";"Inresa";"Inresa Arzneimittel GmbH"
10763;100;"P";"Innovapharm";"Innovapharm Arzneimittelvertriebs GmbH"
10764;100;"P";"Intercell";"Intercell Pharma GmbH"
10784;100;"P";"Kern-Pharma";"Kern-Pharma GMBH"
10811;100;"P";"PharmaFit GmbH";"PharmaFit GmbH"
10950;100;"P";"Kreuz-Apotheke Apotheker Constantin Meyer";"Kreuz-Apotheke Apotheker Constantin Meyer"
10976;100;"P";"Macherey-Nagel";"Macherey-Nagel GmbH & Co. KG"
10982;100;"P";"Marien-Apotheke Prien";"Marien-Apotheke Prien"
11002;100;"P";"Midro Lörrach GmbH";"Midro Lörrach GmbH"
11012;100;"P";"Naturamed Arzneimittelvertriebs GmbH";"Naturamed Arzneimittelvertriebs GmbH"
11021;100;"P";"Ohropax GmbH";"Ohropax GmbH"
11023;100;"P";"One Drop Only";"One Drop Only Chem.-pharm. Vertriebs GmbH"
11046;100;"P";"Pharmapol";"Pharmapol Arzneimittelvertrieb GmbH"
11059;100;"P";"Preventpharma GmbH";"Preventpharma GmbH"
11062;100;"P";"Diagnostic Green GmbH";"Diagnostic Green GmbH"
11073;100;"P";"Resana GmbH";"Resana GmbH"
11074;100;"P";"Retorta GmbH";"Retorta GmbH"
11113;100;"P";"Speiko Dr. Speier GmbH";"Speiko Dr. Speier GmbH"
11132;100;"P";"Steripharm";"Steripharm Pharmazeutische Produkte GmbH & Co. KG"
11177;100;"P";"Wetterau-Apotheke";"Wetterau-Apotheke"
11244;100;"P";"Kallies Feinchemie";"Kallies Feinchemie AG"
11245;100;"P";"Leyh Pharma GmbH";"Leyh Pharma GmbH"
11248;100;"P";"Anthroposan";"Anthroposan"
11295;100;"P";"Bencard";"Bencard Allergie GmbH"
11306;100;"P";"Davimed Pharma GmbH";"Davimed Pharma GmbH"
11324;100;"P";"Hofmann & Sommer";"Hofmann & Sommer GmbH u. Co. KG"
11368;100;"P";"Schmiedeberger";"Schmiedeberger Reformwarenversand GmbH"
11451;100;"P";"Dr. F.u.C.-H. Siegerth";"Dr. F.u.C.-H. Siegerth Naturheimittel GmbH"
11547;100;"P";"Stegropharm GmbH";"Stegropharm GmbH"
