"ID";"COMPANYID";"SEQNO";"CONTACTNAME1";"CONTACTNAME2";"COUNTRYCATALOGID";"COUNTRYCODE";"ZIP";"CITY";"STREET";"STREETNUMBER";"POBZIP";"POBCITY";"POBNUMBER";"ADDRESSTYPECATALOGID";"ADDRESSTYPECODE"
48;48;1;"Bayer Vital GmbH Geschäftsbereich Pharma";"";101;"DE";"51368";"Leverkusen";"Kaiser-Wilhelm-Allee Geb. K 56";"";"";"";"";202;"C"
55;55;1;"Beiersdorf AG";"";101;"DE";"20253";"Hamburg";"Unnastraße";"48";"20245";"Hamburg";"";202;"C"
56;56;1;"bene-Arzneimittel GmbH";"";101;"DE";"81479";"München";"Herterichstr.";"1";"81452";"München";"710269";202;"C"
63;63;1;"Bionorica SE";"";101;"DE";"92318";"Neumarkt";"Kerschensteinerstr.";"11-15";"92308";"Neumarkt";"18 51";202;"C"
64;64;1;"biosyn Arzneimittel GmbH";"";101;"DE";"70734";"Fellbach";"Schorndorfer Str.";"32";"70702";"Fellbach";"1246";202;"C"
65;65;1;"Biotest Pharma GmbH";"";101;"DE";"63303";"Dreieich";"Landsteiner Str.";"3";"63266";"Dreieich";"102040";202;"C"
70;70;1;"bittermedizin Arzneimittel Vertriebs GmbH";"";101;"DE";"";"";"";"";"81603";"München";"800309";202;"C"
76;76;1;"Boehringer Ingelheim Pharma GmbH & Co. KG";"";101;"DE";"55216";"Ingelheim am Rhein";"Binger Straße";"173";"55216";"Ingelheim am Rhein";"200";202;"C"
79;79;1;"Bolder Arzneimittel GmbH & Co. KG";"";101;"DE";"50858";"Köln";"Rheinische Allee";"11";"";"";"";202;"C"
81;81;1;"Apotheker Walter Bouhon GmbH";"Herrn Dr. Hartmut Neufang";101;"DE";"90427";"Nürnberg";"Walter-Bouhon-Straße";"4";"90266";"Nürnberg";"920131";202;"C"
83;83;1;"Optimed Pharma GmbH";"";101;"DE";"50226";"Frechen";"Alfred-Nobel-Str.";"5";"";"";"";202;"C"
96;96;1;"Cassella-med GmbH & Co. KG";"";101;"DE";"50670";"Köln";"Gereonsmühlengasse";"1";"";"";"";202;"C"
98;98;1;"Cefak KG";"";101;"DE";"87437";"Kempten";"Ostbahnhofstraße";"15";"87403";"Kempten";"1360";202;"C"
99;99;1;"Omega Pharma Deutschland GmbH";"";101;"DE";"71083";"Herrenberg";"Benzstr.";"25";"71070";"Herrenberg";"1163";202;"C"
105;105;1;"Alcon Pharma GmbH Geschäftsbereich Vision Care";"";101;"DE";"63762";"Großostheim";"Bauhofstr.";"16";"63702";"Aschaffenburg";"100224";202;"C"
108;108;1;"Combustin pharmazeutische Präparate GmbH";"";101;"DE";"88525";"Hailtingen";"Offinger Str.";"7";"";"";"";202;"C"
114;114;1;"delta pronatura Dr. Krauss & Dr. Beckmann KG";"";101;"DE";"63329";"Egelsbach";"Kurt-Schumacher-Ring";"15-17";"63323";"Egelsbach";"1148";202;"C"
121;121;1;"Dentinox Gesellschaft für pharm. Präparate Lenk & Schuppan KG";"";101;"DE";"12277";"Berlin";"Nunsdorfer Ring";"19";"12253";"Berlin";"480369";202;"C"
122;122;1;"Desitin Arzneimittel GmbH";"";101;"DE";"22335";"Hamburg";"Weg beim Jäger";"214";"22311";"Hamburg";"630164";202;"C"
124;124;1;"DHU-Arzneimittel GmbH & Co. KG";"";101;"DE";"76227";"Karlsruhe";"Ottostr.";"24";"76202";"Karlsruhe";"410280";202;"C"
138;138;1;"Schwarzwald-Apotheke Schonach Dr. Dirk Häfner";"";101;"DE";"78136";"Schonach";"Hauptstr.";"3";"78133";"Schonach";"27";202;"C"
139;139;1;"Dreluso Pharmazeutika Dr. Elten & Sohn GmbH";"";101;"DE";"31840";"Hessisch Oldendorf";"Marktplatz";"5";"";"";"";202;"C"
152;152;1;"Eifelfango, Chem.-Pharm. Werke GmbH & Co. KG";"";101;"DE";"53474";"Bad Neuenahr";"Ringener Straße";"45";"53441";"Bad Neuenahr";"100365";202;"C"
154;154;1;"Engelhard Arzneimittel GmbH & Co.KG";"";101;"DE";"61138";"Niederdorfelden";"Herzbergstraße";"3";"";"";"";202;"C"
158;158;1;"Eurim-Pharm Arzneimittel GmbH";"";101;"DE";"83416";"Saaldorf-Surheim";"EurimPark";"8";"";"";"";202;"C"
159;159;1;"Dr. Falk Pharma GmbH";"";101;"DE";"79108";"Freiburg";"Leinenweberstr.";"5";"79041";"Freiburg";"6529";202;"C"
160;160;1;"FARCO-PHARMA GmbH-Pharma";"";101;"DE";"50670";"Köln";"Gereonsmühlengasse";"1-11";"50454";"Köln";"101445";202;"C"
164;164;1;"Febena Pharma GmbH";"";101;"DE";"50668";"Köln";"Domstraße";"79 A";"";"";"";202;"C"
165;165;1;"W. Feldhoff & Comp. Arzneimittel GmbH";"";101;"DE";"99867";"Gotha";"Hans-C.-Wirz-Str.";"2";"99855";"Gotha";"100137";202;"C"
168;168;1;"Ferring Arzneimittel GmbH";"";101;"DE";"24103";"Kiel";"Fabrikstr.";"7";"24020";"Kiel";"2142";202;"C"
170;170;1;"GlaxoSmithKline Consumer Healthcare GmbH & Co. KG";"Consumer Products";101;"DE";"80339";"München";"Barthstr.";"4";"";"";"";202;"C"
175;175;1;"FRESENIUS KABI  Deutschland GmbH";"";101;"DE";"61352";"Bad Homburg";"Else-Kröner-Straße";"1";"";"";"";202;"C"
185;185;1;"Eduard Gerlach GmbH";"";101;"DE";"32312";"Lübbecke";"Bäckerstraße";"4-8";"32292";"Lübbecke";"1249";202;"C"
189;189;1;"GlaxoSmithKline GmbH & Co. KG";"";101;"DE";"81675";"München";"Prinzregentenplatz";"9";"81630";"München";"860329";202;"C"
190;190;1;"Glenwood GmbH";"";101;"DE";"81925";"München";"Arabellastraße";"17";"";"";"";202;"C"
194;194;1;"Grünenthal GmbH";"";101;"DE";"52078";"Aachen";"Zieglerstr.";"6";"52099";"Aachen";"";202;"C"
197;197;1;"HAL ALLERGIE GMBH";"";101;"DE";"40213";"Düsseldorf";"Poststr.";"5-6";"40554";"Düsseldorf";"130450";202;"C"
199;199;1;"Hanosan GmbH Pharmazeutische Fabrik";"";101;"DE";"30826";"Garbsen";"Hanosanstr.";"1";"30808";"Garbsen";"120164";202;"C"
201;201;1;"Paul Hartmann AG";"";101;"DE";"89522";"Heidenheim";"Paul-Hartmann-Straße";"12";"89504";"Heidenheim";"1420";202;"C"
206;206;1;"Biolog. Heilmittel Heel GmbH";"";101;"DE";"76532";"Baden-Baden";"Dr.-Reckeweg-Str.";"2-4";"76484";"Baden-Baden";"100349";202;"C"
214;214;1;"HENNIG ARZNEIMITTEL GmbH & Co KG";"";101;"DE";"65439";"Flörsheim";"Liebigstraße";"1-2";"65433";"Flörsheim";"1240";202;"C"
215;215;1;"Henning Berlin Arzneimittel GmbH";"";101;"DE";"10785";"Berlin";"Potsdamer Straße";"8";"";"";"";202;"C"
219;219;1;"Almirall Hermal GmbH";"";101;"DE";"21465";"Reinbek";"Scholtzstr.";"3";"21452";"Reinbek";"1228";202;"C"
223;223;1;"Heumann Pharma GmbH & Co. Generica KG";"";101;"DE";"90449";"Nürnberg";"Südwestpark";"50";"90009";"Nürnberg";"2260";202;"C"
224;224;1;"Hevert-Arzneimittel GmbH & Co KG";"";101;"DE";"55569";"Nussbaum";"In der Weiherwiese";"1";"55560";"Bad Sobernheim";"61";202;"C"
225;225;1;"Hexal AG";"";101;"DE";"83607";"Holzkirchen";"Industriestraße";"25";"";"";"";202;"C"
226;226;1;"Heyl Chem.-pharm. Fabrik GmbH & Co. KG";"";101;"DE";"10707";"Berlin";"Kurfürstendamm";"178/179";"";"";"";202;"C"
231;231;1;"Hormosan Pharma GmbH";"";101;"DE";"60314";"Frankfurt am Main";"Hanauer Landstraße";"139-143";"60333";"Frankfurt am Main";"600340";202;"C"
236;236;1;"ICHTHYOL-GESELLSCHAFT Cordes, Hermanni & Co. (GmbH & Co.) KG";"";101;"DE";"22335";"Hamburg";"Sportallee";"85";"22313";"Hamburg";"630361";202;"C"
240;240;1;"Infectopharm Arzneimittel u. Consilium GmbH";"";101;"DE";"64646";"Heppenheim";"Von-Humboldt-Str.";"1";"";"";"";202;"C"
241;241;1;"Zambon GmbH";"";101;"DE";"10707";"Berlin";"Lietzenburger Str.";"99";"";"";"";202;"C"
246;246;1;"Intersero GmbH";"";101;"DE";"65396";"Walluf";"Am Klingenweg";"13";"";"";"";202;"C"
248;248;1;"ISO-Arzneimittel GmbH & Co.KG";"";101;"DE";"76275";"Ettlingen";"Bunsenstr.";"6-10";"76258";"Ettlingen";"447";202;"C"
249;249;1;"Servier Deutschland GmbH";"";101;"DE";"80687";"München";"Elsenheimerstraße";"53";"80674";"München";"210464";202;"C"
251;251;1;"Janssen-Cilag GmbH";"";101;"DE";"41470";"Neuss";"Johnson & Johnson Platz";"1";"41457";"Neuss";"";202;"C"
255;255;1;"DR. KADE Pharmazeutische Fabrik GmbH";"";101;"DE";"12277";"Berlin";"Rigistraße";"2";"12252";"Berlin";"480209";202;"C"
259;259;1;"Kattwiga Arzneimittel GmbH";"";101;"DE";"48529";"Nordhorn";"Zur Grenze";"30";"48514";"Nordhorn";"2567";202;"C"
262;262;1;"PUREN Pharma GmbH & Co. KG";"";101;"DE";"81829";"München";"Willy-Brandt-Alle";"2";"81801";"München";"81829";202;"C"
265;265;1;"MCM Klosterfrau Vertriebsgesellschaft mbH";"";101;"DE";"50670";"Köln";"Gereonsmühlengasse";"1-11";"";"";"";202;"C"
267;267;1;"Dr. Franz Köhler Chemie GmbH";"";101;"DE";"64625";"Bensheim";"Werner-von-Siemens-Str.";"14-28";"";"";"";202;"C"
268;268;1;"Köhler Pharma GmbH";"";101;"DE";"64665";"Alsbach";"Neue Bergstraße";"3-7";"64660";"Alsbach";"1222";202;"C"
270;270;1;"Kreussler & Co. GmbH, Chemische Fabrik";"";101;"DE";"65203";"Wiesbaden";"Rheingaustrasse";"87-93";"65082";"Wiesbaden";"12 04 54";202;"C"
271;271;1;"Krewel Meuselbach GmbH";"";101;"DE";"53783";"Eitorf";"Krewelstrasse";"2";"53775";"Eitorf";"1263";202;"C"
279;279;1;"Zentiva Pharma GmbH";"";101;"DE";"10785";"Berlin";"Linkstr.";"2";"";"";"";202;"C"
281;281;1;"Lilly Deutschland GmbH";"";101;"DE";"61352";"Bad Homburg";"Werner-Reimers-Straße";"2-4";"";"";"";202;"C"
282;282;1;"Linden Arzneimittel-Vertrieb GmbH";"";101;"DE";"35452";"Heuchelheim";"Rodheimer Straße";"90";"";"";"";202;"C"
288;288;1;"Lohmann & Rauscher GmbH & Co. KG";"";101;"DE";"56567";"Neuwied";"Irlicher Straße";"55";"56513";"Neuwied";"2343";202;"C"
289;289;1;"Lomapharm, Rudolf Lohmann GmbH KG";"";101;"DE";"31860";"Emmerthal";"Langes Feld";"5";"31857";"Emmerthal";"1210";202;"C"
290;290;1;"Daiichi Sankyo Deutschland GmbH";"";101;"DE";"81379";"München";"Zielstattstr.";"48";"";"";"";202;"C"
304;304;1;"Dr. Gerhard Mann, Chem.-pharm. Fabrik GmbH";"";101;"DE";"13581";"Berlin";"Brunsbütteler Damm";"165-173";"13578";"Berlin";"200456";202;"C"
306;306;1;"Mauermann-Arzneimittel KG";"";101;"DE";"82343";"Pöcking";"Heinrich-Knote-Straße";"2";"82341";"Pöcking";"20";202;"C"
310;310;1;"Dr. Loges + Co. GmbH";"";101;"DE";"21423";"Winsen (Luhe)";"Schützenstraße";"5";"21412";"Winsen (Luhe)";"1262";202;"C"
313;313;1;"Medice Arzneimittel Pütter GmbH & Co. KG";"";101;"DE";"58638";"Iserlohn";"Kuhloweg";"37";"58634";"Iserlohn";"2063";202;"C"
318;318;1;"medac Gesellschaft für klinische Spezialpräparate mbH";"";101;"DE";"22880";"Wedel";"Theaterstraße";"6";"22872";"Wedel";"13 55";202;"C"
323;323;1;"Recordati Pharma GmbH";"";101;"DE";"89075";"Ulm";"Eberhard-Finckh-Str.";"55";"";"";"";202;"C"
325;325;1;"Merz Pharmaceuticals GmbH";"";101;"DE";"60318";"Frankfurt a. M.";"Eckenheimer Landstraße";"100";"60048";"Frankfurt a. M.";"111353";202;"C"
326;326;1;"meta Fackler Arzneimittel GmbH";"";101;"DE";"31832";"Springe";"Philipp-Reis-Straße";"3";"31815";"Springe";"100305";202;"C"
328;328;1;"Mickan Arzneimittel GmbH";"";101;"DE";"76189";"Karlsruhe";"Industriestr.";"5";"76159";"Karlsruhe";"210940";202;"C"
334;334;1;"MSD Sharp & Dohme GmbH";"";101;"DE";"85540";"Haar";"Lindenplatz";"1";"85530";"Haar";"1202";202;"C"
336;336;1;"Mucos Pharma GmbH & Co. KG";"";101;"DE";"82008";"Unterhaching";"Ottobrunner Str.";"41";"";"";"";202;"C"
337;337;1;"Chemisch-Pharmazeutische Fabrik Göppingen, Carl MüllerApotheker, GmbH u. Co. KG";"Frau Karin Nellmann";;"";"73033";"Göppingen";"Bahnhofstr.";"33-35 + 40";"73008";"Göppingen";"869";202;"C"
339;339;1;"Mundipharma GmbH";"";101;"DE";"60549";"Frankfurt am Main";"De-Saint-Exupery-Str.";"10";"";"";"";202;"C"
345;345;1;"Nestlé Health Science (Deutschland) GmbH";"";101;"DE";"60528";"Frankfurt";"Lyoner Str.";"23";"";"";"";202;"C"
346;346;1;"neuraxpharm Arzneimittel GmbH";"";101;"DE";"40764";"Langenfeld";"Elisabeth-Selbert-Straße";"23";"40244";"Langenfeld";"400455";202;"C"
348;348;1;"Guerbet GmbH";"Gebührenfreies Auftragstelefon: 0800/125";101;"DE";"65843";"Sulzbach/ Taunus";"Otto-Volger-Straße";"11";"65838";"Sulzbach/ Taunus";"1240";202;"C"
351;351;1;"Norgine GmbH";"";101;"DE";"35435";"Wettenberg";"Im Westpark";"14";"";"";"";202;"C"
354;354;1;"Novo Nordisk Pharma GmbH";"";101;"DE";"55127";"Mainz";"Brucknerstr.";"1";"55018";"Mainz";"2840";202;"C"
359;359;1;"Optima Pharmazeutische GmbH";"";101;"DE";"85399";"Halbergmoos";"Ludwigstr.";"49";"";"";"";202;"C"
360;360;1;"OPTOSOL, Chemische Produkte GmbH";"";;"";"83714";"Miesbach";"Oskar-von-Miller-Str.";"6";"83712";"Miesbach";"166";202;"C"
368;368;1;"Pascoe Pharmazeutische Präparate GmbH";"";101;"DE";"35394";"Giessen";"Schiffenberger Weg";"55";"35337";"Giessen";"100755";202;"C"
376;376;1;"Pfizer Pharma GmbH";"";101;"DE";"10785";"Berlin";"Linkstr.";"10";"10922";"Berlin";"610194";202;"C"
377;377;1;"Dr. Pfleger Arzneimittel GmbH";"";101;"DE";"96052";"Bamberg";"Dr.-Robert-Pfleger-Str.";"12";"";"";"";202;"C"
380;380;1;"Johnson & Johnson Vision AMO Germany GmbH";"";101;"DE";"76275";"Ettlingen";"Rudolf-Plank-Str.";"31";"";"";"";202;"C"
397;397;1;"Pharno-Wedropharm GmbH";"";101;"DE";"21244";"Buchholz";"Zunftstr.";"18";"";"";"";202;"C"
398;398;1;"PHÖNIX Laboratorium GmbH";"";101;"DE";"71149";"Bondorf";"Benzstraße";"10";"71145";"Bondorf";"20";202;"C"
401;401;1;"G. Pohl-Boskamp GmbH & Co. KG";"";101;"DE";"25551";"Hohenlockstedt";"Kieler Str.";"11";"25550";"Hohenlockstedt";"1253";202;"C"
403;403;1;"Lundbeck GmbH";"";101;"DE";"20457";"Hamburg";"Ericusspitze";"2";"";"";"";202;"C"
404;404;1;"Protina Pharmazeutische Gesellschaft mbH";"";101;"DE";"85737";"Ismaning";"Adalperostraße";"37";"85730";"Ismaning";"1253";202;"C"
406;406;1;"ratiopharm GmbH";"";101;"DE";"89079";"Ulm";"Graf-Arco-Str.";"3";"89070";"Ulm";"3380";202;"C"
408;408;1;"Cesra Arzneimittel GmbH & Co. KG";"";101;"DE";"76532";"Baden-Baden";"Braunmattstr.";"20";"76490";"Baden-Baden";"2020";202;"C"
412;412;1;"Repha GmbH";"";101;"DE";"30855";"Langenhagen";"Alt-Godshorn";"87";"30832";"Langenhagen";"1180";202;"C"
413;413;1;"Retterspitz GmbH";"";101;"DE";"90571";"Schwaig";"Laufer Str.";"17-19";"90564";"Schwaig";"100264";202;"C"
419;419;1;"Dr. Ritsert Pharma GmbH u. Co KG";"";101;"DE";"69412";"Eberbach";"Klausenweg";"12";"69402";"Eberbach";"1254";202;"C"
420;420;1;"Pierre Fabre Pharma GmbH";"";101;"DE";"79111";"Freiburg";"Jechtinger Str.";"13";"79043";"Freiburg";"6769";202;"C"
421;421;1;"Robugen GmbH, Pharmazeutische Fabrik";"";101;"DE";"73730";"Esslingen";"Alleenstrasse";"22-26";"73703";"Esslingen";"100336";202;"C"
422;422;1;"Roche Pharma AG";"";101;"DE";"79639";"Grenzach-Wyhlen";"Emil-Barell-Straße";"1";"79630";"Grenzach-Wyhlen";"1270";202;"C"
426;426;1;"roha arzneimittel GmbH";"";101;"DE";"28355";"Bremen";"Rockwinkeler Heerstraße";"100";"28333";"Bremen";"330340";202;"C"
431;431;1;"S & K Pharma Schumann und Kohl GmbH";"";101;"DE";"15562";"Rüdersdorf bei Berlin";"Maienbergstraße";"10-12";"";"";"";202;"C"
432;432;1;"Fatol Arzneimittel GmbH";"";101;"DE";"66578";"Schiffweiler";"Robert-Koch-Straße";"";"";"";"";202;"C"
443;443;1;"Schaper & Brümmer GmbH & Co. KG";"";101;"DE";"38259";"Salzgitter";"Bahnhofstr.";"35";"";"";"";202;"C"
444;444;1;"ALK-Abelló Arzneimittel GmbH";"";101;"DE";"22763";"Hamburg";"Griegstraße, Haus 25";"75";"";"";"";202;"C"
452;452;1;"Schuck GmbH";"Herrn Hans-Jürgen Gemple";101;"DE";"90571";"Schwaig b. Nürnberg";"Industriestr.";"11";"90564";"Schwaig b. Nürnberg";"100265";202;"C"
453;453;1;"Schülke & Mayr GmbH";"";101;"DE";"22851";"Norderstedt";"Robert-Koch-Str.";"2";"22840";"Norderstedt";"";202;"C"
459;459;1;"Schwarzwälder Natur-Heilmittel";"";101;"DE";"93183";"Kallmünz";"Marktplatz";"4";"";"";"";202;"C"
462;462;1;"Serag-Wiessner GmbH & Co. KG";"";101;"DE";"95119";"Naila";"Zum Kugelfang";"8-12";"95112";"Naila";"1140";202;"C"
466;466;1;"SIEMENS & Co";"";101;"DE";"56130";"Bad Ems";"Arzbacher Str.";"78";"";"";"";202;"C"
471;471;1;"Bristol-Myers Squibb GmbH & Co. KGaA";"";101;"DE";"80636";"München";"Arnulfstr.";"29";"";"";"";202;"C"
474;474;1;"Steierl-Pharma GmbH";"";101;"DE";"82211";"Herrsching";"Mühlfelder Str.";"48";"82207";"Herrsching";"1268";202;"C"
477;477;1;"Stiefel GmbH & Co. KG";"";;"";"80339";"München";"Theresienhöhe";"11";"80700";"München";"";202;"C"
480;480;1;"Strath-Labor GmbH";"";101;"DE";"93093";"Donaustauf";"Lessingstr.";"18";"";"";"";202;"C"
481;481;1;"Strathmann GmbH & Co. KG";"";101;"DE";"22459";"Hamburg";"Sellhopsweg";"1";"22424";"Hamburg";"610425";202;"C"
482;482;1;"Pharma Stulln GmbH";"";101;"DE";"92551";"Stulln";"Werksstr.";"3";"";"";"";202;"C"
483;483;1;"Südmedica GmbH, Chem.-pharmazeutische Fabrik";"Herrn Dr. G. Bader";;"";"";"";"";"";"81316";"München";"701669";202;"C"
485;485;1;"SymbioPharm GmbH";"";101;"DE";"35745";"Herborn";"Auf den Lüppen";"10";"35727";"Herborn";"1765";202;"C"
489;489;1;"TAD Pharma GmbH";"";101;"DE";"27472";"Cuxhaven";"Heinz-Lohmann-Straße";"5";"";"";"";202;"C"
494;494;1;"Temmler Pharma GmbH";"";101;"DE";"35039";"Marburg";"Temmlerstr.";"2";"";"";"";202;"C"
501;501;1;"Töpfer GmbH";"";101;"DE";"87463";"Dietmannsried";"Heisinger Straße";"6";"87460";"Dietmannsried";"1180";202;"C"
502;502;1;"Togal Werk AG";"";101;"DE";"80333";"München";"Theatinerstr.";"15";"";"";"";202;"C"
505;505;1;"Trommsdorff GmbH & Co. KG";"";101;"DE";"52477";"Alsdorf";"Trommsdorffstr.";"2-6";"";"";"";202;"C"
509;509;1;"UCB Pharma GmbH";"";101;"DE";"40789";"Monheim";"Alfred-Nobel-Str.";"10";"40770";"Monheim";"100660";202;"C"
512;512;1;"Ursapharm Arzneimittel GmbH";"";101;"DE";"66129";"Saarbrücken";"Industriestraße";"35";"66057";"Saarbrücken";"400151";202;"C"
514;514;1;"Verla-Pharm Arzneimittel GmbH & Co KG";"";101;"DE";"82327";"Tutzing";"Hauptstraße";"98";"82324";"Tutzing";"1261";202;"C"
515;515;1;"vitOrgan Arzneimittel GmbH";"";101;"DE";"73760";"Ostfildern";"Brunnwiesenstr.";"21";"73745";"Ostfildern";"4240";202;"C"
516;516;1;"Weber & Weber GmbH & Co. KG";"";101;"DE";"82266";"Inning";"Herrschinger Str.";"33";"";"";"";202;"C"
518;518;1;"WALA Heilmittel GmbH";"";101;"DE";"73087";"Bad Boll/Eckwälden";"Dorfstraße";"1";"73085";"Bad Boll/Eckwälden";"1191";202;"C"
524;524;1;"Weleda AG";"";101;"DE";"73525";"Schwäbisch-Gmünd";"Möhlerstr.";"3";"73503";"Schwäbich-Gmünd";"1320";202;"C"
528;528;1;"Procter & Gamble GmbH";"";101;"DE";"65824";"Schwalbach";"Sulzbacher Str.";"40-50";"";"";"";202;"C"
530;530;1;"Wiedemann Pharma GmbH";"";101;"DE";"82541";"Münsing-Ambach";"Pilotyweg";"14";"";"";"";202;"C"
532;532;1;"Dr. Winzer Pharma GmbH";"";101;"DE";"13581";"Berlin";"Brunsbütteler Damm";"165-173";"";"";"";202;"C"
535;535;1;"McNeil GmbH & Co. oHG";"";101;"DE";"41470";"Neuss";"Raiffeisenstr.";"9";"";"";"";202;"C"
536;536;1;"WÖRWAG Pharma GmbH & Co. KG";"";101;"DE";"71034";"Böblingen";"Calwer Str.";"7";"";"";"";202;"C"
537;537;1;"Dr. August Wolff GmbH & Co. KG, Arzneimittel";"";101;"DE";"33611";"Bielefeld";"Sudbrackstrasse";"56";"33532";"Bielefeld";"103251";202;"C"
542;542;1;"Fritz Zilly GmbH";"Herrn Jürgen Zilly";101;"DE";"76534";"Baden-Baden";"Eckbergstraße";"18";"76502";"Baden-Baden";"1318";202;"C"
550;550;1;"Menicon GmbH Kontaktlinsen";"";;"";"63069";"Offenbach";"Odenwaldring";"44";"63012";"Offenbach";"";202;"C"
556;556;1;"Johannes Bürger Ysatfabrik GmbH";"";101;"DE";"38667";"Bad Harzburg";"Herzog-Julius-Str.";"83";"38659";"Bad Harzburg";"200149";202;"C"
561;561;1;"Pharmacia GmbH";"";;"";"10785";"Berlin";"Linkstr.";"10";"";"";"";202;"C"
563;563;1;"gepepharm GmbH";"";101;"DE";"53773";"Hennef";"Josef-Dietzgen-Str.";"3";"";"";"";202;"C"
566;566;1;"Galderma Laboratorium GmbH";"";101;"DE";"40211";"Düsseldorf";"Toulouser Allee";"23a";"";"";"";202;"C"
568;568;1;"L Oreal Deutschland GmbH Geschäftsbereich La Roche-Posay";"";101;"DE";"40476";"Düsseldorf";"Johannstr.";"1";"";"";"";202;"C"
570;570;1;"Rotexmedica GmbH Arzneimittelwerk";"";101;"DE";"22946";"Trittau";"Bunsenstr.";"4";"";"";"";202;"C"
571;571;1;"Dibropharm GmbH Distribution & Co. KG";"";101;"DE";"76532";"Baden-Baden";"Gaisbühlstr.";"5a";"76481";"Baden-Baden";"100010";202;"C"
573;573;1;"Evers GmbH & Co KG, Pharmazeutische Fabrik";"";101;"DE";"25421";"Pinneberg";"Siemensstr.";"4";"25403";"Pinneberg";"1334";202;"C"
576;576;1;"RIEMSER Pharma GmbH";"";101;"DE";"17493";"Greifswald-Insel Riems";"An der Wiek";"7";"";"";"";202;"C"
579;579;1;"Bad Heilbrunner Naturheilmittel GmbH & Co. KG";"";101;"DE";"83670";"Bad Heilbrunn";"Am Krebsenbach";"5-7";"83667";"Bad Heilbrunn";"40";202;"C"
582;582;1;"Kyowa Kirin GmbH";"";101;"DE";"40549";"Düsseldorf";"Monschauer Str.";"1";"";"";"";202;"C"
587;587;1;"Dronania pharmaceuticals GmbH";"";101;"DE";"86825";"Bad Wörishofen";"Karl-Benz-Str.";"3";"";"";"";202;"C"
588;588;1;"Dr. Friedrich Eberth Arzneimittel GmbH";"";101;"DE";"92289";"Ursensollen";"Am Bahnhof";"2";"";"";"";202;"C"
591;591;1;"Infirmarius GmbH";"";101;"DE";"73037";"Göppingen";"Daimlerstr.";"19-21";"";"";"";202;"C"
595;595;1;"Helixor Heilmittel GmbH";"";101;"DE";"72348";"Rosenfeld";"Fischermühle";"1";"";"";"";202;"C"
607;607;1;"Homöopathisches Laboratorium A. Pflüger GmbH & Co. KG";"";101;"DE";"33378";"Rheda-Wiedenbrück";"Röntgenstr.";"4";"";"";"";202;"C"
608;608;1;"Pharma Liebermann GmbH";"";101;"DE";"89423";"Gundelfingen";"Hauptstr.";"27";"89421";"Gundelfingen";"49";202;"C"
613;613;1;"Pharma Schwörer GmbH";"";101;"DE";"69257";"Wiesenbach";"Goethestr.";"29";"";"";"";202;"C"
615;615;1;"Syxyl GmbH & Co. KG";"Frau Elisabeth Gierse";;"";"50670";"Köln";"Gereonsmühlengasse";"5";"";"";"";202;"C"
617;617;1;"Kneipp GmbH";"";101;"DE";"97084";"Würzburg";"Winterhäuser Str.";"85";"";"";"";202;"C"
