"INTERACTIONCLASSID1";"INTERACTIONCLASSID2";"SEVERITY";"LIKELIHOOD"
18;91;"schwerwiegend";"Begrenzt untersucht."
18;109;"schwerwiegend";"Begrenzt untersucht."
18;120;"mittelschwer";"Gut untersucht."
18;139;"mittelschwer";"Begrenzt untersucht."
18;165;"schwerwiegend";"Nicht erwiesen"
18;176;"schwerwiegend";"Gut untersucht."
18;210;"schwerwiegend";"Nicht erwiesen"
18;482;"mittelschwer";"Begrenzt untersucht."
18;10067;"Vorsicht";"Begrenzt untersucht."
18;10075;"schwerwiegend";"Sehr gut untersucht."
18;10094;"schwerwiegend";"Begrenzt untersucht."
18;10116;"schwerwiegend";"Nicht erwiesen"
18;10199;"schwerwiegend";"Begrenzt untersucht."
18;10225;"schwerwiegend";"Begrenzt untersucht."
18;10284;"schwerwiegend";"Gut untersucht."
18;10311;"schwerwiegend";"Begrenzt untersucht."
18;10353;"schwerwiegend";"Begrenzt untersucht."
18;10507;"mittelschwer";"Begrenzt untersucht."
18;10603;"schwerwiegend";"Nicht erwiesen"
18;10622;"schwerwiegend";"Begrenzt untersucht."
18;10973;"schwerwiegend";"Begrenzt untersucht."
18;10985;"schwerwiegend";"Begrenzt untersucht."
18;11028;"schwerwiegend";"Gut untersucht."
18;11048;"schwerwiegend";"Nicht erwiesen"
18;11249;"mittelschwer";"Begrenzt untersucht."
18;11735;"schwerwiegend";"Begrenzt untersucht."
18;12100;"schwerwiegend";"Nicht erwiesen"
18;12137;"schwerwiegend";"Nicht erwiesen"
18;12251;"schwerwiegend";"Begrenzt untersucht."
18;12393;"schwerwiegend";"Begrenzt untersucht."
18;12394;"schwerwiegend";"Begrenzt untersucht."
18;12395;"schwerwiegend";"Gut untersucht."
18;12400;"mittelschwer";"Begrenzt untersucht."
18;12407;"schwerwiegend";"Nicht erwiesen"
18;12409;"schwerwiegend";"Nicht erwiesen"
18;12435;"mittelschwer";"Begrenzt untersucht."
18;12470;"Vorsicht";"Begrenzt untersucht."
18;12483;"schwerwiegend";"Begrenzt untersucht."
18;12840;"schwerwiegend";"Gut untersucht."
18;12844;"schwerwiegend";"Nicht erwiesen"
19;31;"mittelschwer";"Nicht erwiesen"
19;53;"mittelschwer";"Nicht erwiesen"
19;120;"mittelschwer";"Nicht erwiesen"
19;122;"schwerwiegend";"Sehr gut untersucht."
19;139;"mittelschwer";"Begrenzt untersucht."
19;10110;"mittelschwer";"Begrenzt untersucht."
19;12379;"mittelschwer";"Begrenzt untersucht."
20;33;"mittelschwer";"Begrenzt untersucht."
20;38;"mittelschwer";"Begrenzt untersucht."
20;69;"mittelschwer";"Gut untersucht."
20;75;"mittelschwer";"Nicht erwiesen"
20;112;"mittelschwer";"Begrenzt untersucht."
20;113;"mittelschwer";"Nicht erwiesen"
20;163;"mittelschwer";"Nicht erwiesen"
20;193;"Vorsicht";"Nicht erwiesen"
20;217;"mittelschwer";"Begrenzt untersucht."
20;263;"mittelschwer";"Gut untersucht."
20;311;"mittelschwer";"Begrenzt untersucht."
20;321;"mittelschwer";"Begrenzt untersucht."
20;10353;"mittelschwer";"Begrenzt untersucht."
20;10438;"mittelschwer";"Nicht erwiesen"
21;30;"mittelschwer";"Sehr gut untersucht."
21;69;"schwerwiegend";"Begrenzt untersucht."
21;120;"geringfügig";"Begrenzt untersucht."
21;127;"mittelschwer";"Gut untersucht."
21;10046;"mittelschwer";"Begrenzt untersucht."
22;175;"mittelschwer";"Gut untersucht."
22;10956;"Vorsicht";"Begrenzt untersucht."
23;188;"Vorsicht";"Nicht erwiesen"
24;18;"schwerwiegend";"Begrenzt untersucht."
24;50;"mittelschwer";"Begrenzt untersucht."
24;210;"mittelschwer";"Begrenzt untersucht."
24;10002;"mittelschwer";"Begrenzt untersucht."
24;10014;"schwerwiegend";"Nicht erwiesen"
24;10090;"schwerwiegend";"Begrenzt untersucht."
24;10120;"mittelschwer";"Sehr gut untersucht."
27;169;"Vorsicht";"Nicht erwiesen"
27;363;"Vorsicht";"Gut untersucht."
27;10501;"geringfügig";"Nicht erwiesen"
27;12652;"mittelschwer";"Nicht erwiesen"
28;20;"mittelschwer";"Nicht erwiesen"
28;75;"schwerwiegend";"Begrenzt untersucht."
28;109;"Vorsicht";"Nicht erwiesen"
28;368;"mittelschwer";"Nicht erwiesen"
28;10347;"mittelschwer";"Nicht erwiesen"
28;12261;"mittelschwer";"Begrenzt untersucht."
29;13;"geringfügig";"Nicht erwiesen"
29;31;"mittelschwer";"Gut untersucht."
29;35;"Vorsicht";"Nicht erwiesen"
29;70;"mittelschwer";"Gut untersucht."
29;136;"geringfügig";"Gut untersucht."
29;10002;"mittelschwer";"Gut untersucht."
29;10075;"Vorsicht";"Nicht erwiesen"
29;12878;"mittelschwer";"Begrenzt untersucht."
30;9;"mittelschwer";"Gut untersucht."
30;10;"mittelschwer";"Begrenzt untersucht."
30;31;"geringfügig";"Begrenzt untersucht."
30;33;"mittelschwer";"Gut untersucht."
30;42;"mittelschwer";"Gut untersucht."
30;46;"mittelschwer";"Gut untersucht."
30;48;"schwerwiegend";"Sehr gut untersucht."
30;63;"mittelschwer";"Gut untersucht."
30;69;"mittelschwer";"Begrenzt untersucht."
30;90;"mittelschwer";"Begrenzt untersucht."
30;102;"schwerwiegend";"Sehr gut untersucht."
30;111;"mittelschwer";"Begrenzt untersucht."
30;114;"mittelschwer";"Gut untersucht."
30;115;"mittelschwer";"Begrenzt untersucht."
30;128;"mittelschwer";"Begrenzt untersucht."
30;130;"mittelschwer";"Begrenzt untersucht."
30;158;"mittelschwer";"Begrenzt untersucht."
30;164;"mittelschwer";"Gut untersucht."
30;166;"schwerwiegend";"Begrenzt untersucht."
30;185;"mittelschwer";"Gut untersucht."
30;189;"mittelschwer";"Sehr gut untersucht."
30;190;"schwerwiegend";"Gut untersucht."
30;193;"geringfügig";"Begrenzt untersucht."
30;200;"mittelschwer";"Begrenzt untersucht."
30;201;"mittelschwer";"Begrenzt untersucht."
30;204;"mittelschwer";"Nicht erwiesen"
30;205;"mittelschwer";"Begrenzt untersucht."
30;207;"geringfügig";"Begrenzt untersucht."
30;209;"mittelschwer";"Begrenzt untersucht."
30;328;"Vorsicht";"Begrenzt untersucht."
30;350;"mittelschwer";"Nicht erwiesen"
30;357;"mittelschwer";"Sehr gut untersucht."
30;410;"geringfügig";"Begrenzt untersucht."
30;416;"mittelschwer";"Begrenzt untersucht."
30;435;"geringfügig";"Begrenzt untersucht."
30;450;"schwerwiegend";"Gut untersucht."
30;472;"mittelschwer";"Gut untersucht."
30;10094;"mittelschwer";"Begrenzt untersucht."
30;10112;"mittelschwer";"Begrenzt untersucht."
30;10240;"mittelschwer";"Begrenzt untersucht."
30;10386;"mittelschwer";"Gut untersucht."
30;10525;"mittelschwer";"Begrenzt untersucht."
30;11400;"mittelschwer";"Gut untersucht."
30;12053;"mittelschwer";"Begrenzt untersucht."
30;12112;"schwerwiegend";"Sehr gut untersucht."
30;12396;"mittelschwer";"Nicht erwiesen"
30;12749;"mittelschwer";"Nicht erwiesen"
30;12870;"mittelschwer";"Begrenzt untersucht."
31;9;"mittelschwer";"Gut untersucht."
31;23;"mittelschwer";"Begrenzt untersucht."
31;24;"mittelschwer";"Begrenzt untersucht."
31;120;"Vorsicht";"Begrenzt untersucht."
31;122;"schwerwiegend";"Sehr gut untersucht."
31;170;"mittelschwer";"Nicht erwiesen"
31;185;"mittelschwer";"Begrenzt untersucht."
31;191;"schwerwiegend";"Begrenzt untersucht."
31;318;"mittelschwer";"Begrenzt untersucht."
31;476;"mittelschwer";"Gut untersucht."
31;10037;"mittelschwer";"Begrenzt untersucht."
31;10072;"schwerwiegend";"Sehr gut untersucht."
31;10186;"mittelschwer";"Begrenzt untersucht."
31;10217;"mittelschwer";"Begrenzt untersucht."
31;10453;"geringfügig";"Begrenzt untersucht."
31;10664;"Vorsicht";"Nicht erwiesen"
31;11306;"mittelschwer";"Begrenzt untersucht."
31;11928;"schwerwiegend";"Gut untersucht."
31;12581;"mittelschwer";"Begrenzt untersucht."
31;12803;"mittelschwer";"Nicht erwiesen"
33;58;"mittelschwer";"Begrenzt untersucht."
33;113;"mittelschwer";"Gut untersucht."
33;321;"schwerwiegend";"Gut untersucht."
33;424;"mittelschwer";"Begrenzt untersucht."
33;11740;"mittelschwer";"Gut untersucht."
33;12122;"Vorsicht";"Begrenzt untersucht."
33;12179;"schwerwiegend";"Gut untersucht."
35;9;"mittelschwer";"Sehr gut untersucht."
35;31;"mittelschwer";"Gut untersucht."
35;81;"Vorsicht";"Nicht erwiesen"
35;122;"mittelschwer";"Nicht erwiesen"
37;30;"schwerwiegend";"Gut untersucht."
37;67;"mittelschwer";"Gut untersucht."
37;69;"mittelschwer";"Gut untersucht."
37;125;"mittelschwer";"Gut untersucht."
37;139;"schwerwiegend";"Sehr gut untersucht."
37;146;"schwerwiegend";"Sehr gut untersucht."
37;166;"mittelschwer";"Begrenzt untersucht."
37;190;"schwerwiegend";"Gut untersucht."
37;195;"mittelschwer";"Begrenzt untersucht."
37;204;"mittelschwer";"Nicht erwiesen"
37;205;"mittelschwer";"Nicht erwiesen"
37;295;"Vorsicht";"Begrenzt untersucht."
37;318;"schwerwiegend";"Begrenzt untersucht."
37;497;"mittelschwer";"Begrenzt untersucht."
37;10034;"mittelschwer";"Gut untersucht."
37;10072;"mittelschwer";"Sehr gut untersucht."
37;10216;"mittelschwer";"Begrenzt untersucht."
37;10353;"mittelschwer";"Sehr gut untersucht."
37;10438;"schwerwiegend";"Begrenzt untersucht."
37;11028;"mittelschwer";"Gut untersucht."
37;12396;"mittelschwer";"Nicht erwiesen"
37;12656;"geringfügig";"Gut untersucht."
38;110;"mittelschwer";"Nicht erwiesen"
38;217;"schwerwiegend";"Begrenzt untersucht."
38;364;"schwerwiegend";"Nicht erwiesen"
39;222;"Vorsicht";"Begrenzt untersucht."
42;10000;"mittelschwer";"Begrenzt untersucht."
43;31;"mittelschwer";"Gut untersucht."
43;69;"mittelschwer";"Begrenzt untersucht."
43;73;"mittelschwer";"Begrenzt untersucht."
43;91;"geringfügig";"Begrenzt untersucht."
43;105;"mittelschwer";"Gut untersucht."
43;166;"mittelschwer";"Begrenzt untersucht."
43;173;"mittelschwer";"Gut untersucht."
43;209;"Vorsicht";"Begrenzt untersucht."
43;220;"Vorsicht";"Begrenzt untersucht."
43;417;"geringfügig";"Begrenzt untersucht."
43;426;"mittelschwer";"Begrenzt untersucht."
43;427;"mittelschwer";"Gut untersucht."
43;456;"geringfügig";"Begrenzt untersucht."
43;10005;"mittelschwer";"Begrenzt untersucht."
43;10025;"geringfügig";"Gut untersucht."
43;10071;"schwerwiegend";"Begrenzt untersucht."
43;10094;"Vorsicht";"Begrenzt untersucht."
43;10130;"mittelschwer";"Begrenzt untersucht."
43;10146;"mittelschwer";"Begrenzt untersucht."
43;10152;"Vorsicht";"Gut untersucht."
43;10193;"mittelschwer";"Begrenzt untersucht."
43;10205;"schwerwiegend";"Begrenzt untersucht."
43;10311;"mittelschwer";"Begrenzt untersucht."
43;10323;"geringfügig";"Gut untersucht."
43;10397;"mittelschwer";"Gut untersucht."
43;10417;"mittelschwer";"Begrenzt untersucht."
43;10453;"mittelschwer";"Gut untersucht."
43;10535;"mittelschwer";"Begrenzt untersucht."
43;10694;"mittelschwer";"Begrenzt untersucht."
43;10956;"mittelschwer";"Gut untersucht."
43;10958;"Vorsicht";"Gut untersucht."
43;11129;"mittelschwer";"Begrenzt untersucht."
43;11379;"mittelschwer";"Gut untersucht."
43;11626;"geringfügig";"Gut untersucht."
43;11928;"mittelschwer";"Begrenzt untersucht."
43;12128;"schwerwiegend";"Nicht erwiesen"
43;12254;"mittelschwer";"Begrenzt untersucht."
43;12317;"geringfügig";"Gut untersucht."
43;12323;"geringfügig";"Begrenzt untersucht."
43;12343;"mittelschwer";"Nicht erwiesen"
43;12633;"geringfügig";"Begrenzt untersucht."
44;10453;"mittelschwer";"Gut untersucht."
45;146;"mittelschwer";"Begrenzt untersucht."
45;10864;"mittelschwer";"Begrenzt untersucht."
45;10882;"mittelschwer";"Begrenzt untersucht."
46;10;"schwerwiegend";"Sehr gut untersucht."
46;125;"mittelschwer";"Begrenzt untersucht."
47;7;"mittelschwer";"Begrenzt untersucht."
47;9;"mittelschwer";"Begrenzt untersucht."
47;11676;"mittelschwer";"Begrenzt untersucht."
47;12160;"geringfügig";"Begrenzt untersucht."
48;9;"schwerwiegend";"Sehr gut untersucht."
48;31;"mittelschwer";"Gut untersucht."
48;33;"mittelschwer";"Begrenzt untersucht."
48;35;"Vorsicht";"Nicht erwiesen"
48;39;"Vorsicht";"Gut untersucht."
48;63;"mittelschwer";"Gut untersucht."
48;69;"mittelschwer";"Begrenzt untersucht."
48;91;"mittelschwer";"Begrenzt untersucht."
48;122;"mittelschwer";"Begrenzt untersucht."
48;174;"mittelschwer";"Sehr gut untersucht."
48;185;"mittelschwer";"Gut untersucht."
48;189;"mittelschwer";"Gut untersucht."
48;216;"mittelschwer";"Gut untersucht."
48;395;"mittelschwer";"Begrenzt untersucht."
48;463;"mittelschwer";"Nicht erwiesen"
48;475;"mittelschwer";"Nicht erwiesen"
48;10068;"mittelschwer";"Gut untersucht."
48;10152;"mittelschwer";"Begrenzt untersucht."
48;10199;"mittelschwer";"Gut untersucht."
48;10386;"mittelschwer";"Begrenzt untersucht."
48;10421;"mittelschwer";"Gut untersucht."
48;10956;"mittelschwer";"Begrenzt untersucht."
48;10958;"mittelschwer";"Begrenzt untersucht."
48;12250;"mittelschwer";"Gut untersucht."
48;12251;"mittelschwer";"Begrenzt untersucht."
48;12283;"mittelschwer";"Gut untersucht."
48;12581;"mittelschwer";"Nicht erwiesen"
49;139;"mittelschwer";"Begrenzt untersucht."
50;7;"mittelschwer";"Begrenzt untersucht."
50;9;"schwerwiegend";"Sehr gut untersucht."
50;22;"mittelschwer";"Gut untersucht."
50;31;"mittelschwer";"Begrenzt untersucht."
50;33;"mittelschwer";"Gut untersucht."
50;35;"geringfügig";"Begrenzt untersucht."
50;48;"geringfügig";"Gut untersucht."
50;75;"mittelschwer";"Begrenzt untersucht."
50;81;"mittelschwer";"Begrenzt untersucht."
50;149;"mittelschwer";"Nicht erwiesen"
50;157;"geringfügig";"Gut untersucht."
50;158;"mittelschwer";"Gut untersucht."
50;170;"mittelschwer";"Gut untersucht."
50;180;"geringfügig";"Gut untersucht."
50;202;"mittelschwer";"Gut untersucht."
50;481;"mittelschwer";"Begrenzt untersucht."
50;10346;"mittelschwer";"Gut untersucht."
50;12581;"mittelschwer";"Nicht erwiesen"
50;12633;"mittelschwer";"Begrenzt untersucht."
53;18;"schwerwiegend";"Begrenzt untersucht."
53;111;"Vorsicht";"Begrenzt untersucht."
53;147;"mittelschwer";"Begrenzt untersucht."
53;10026;"mittelschwer";"Gut untersucht."
53;10301;"schwerwiegend";"Nicht erwiesen"
53;11028;"mittelschwer";"Gut untersucht."
53;11393;"mittelschwer";"Begrenzt untersucht."
53;11751;"mittelschwer";"Begrenzt untersucht."
53;12343;"mittelschwer";"Nicht erwiesen"
54;20;"mittelschwer";"Nicht erwiesen"
54;109;"mittelschwer";"Begrenzt untersucht."
54;10353;"mittelschwer";"Begrenzt untersucht."
54;10958;"Vorsicht";"Begrenzt untersucht."
54;12283;"mittelschwer";"Begrenzt untersucht."
54;12327;"Vorsicht";"Begrenzt untersucht."
55;9;"mittelschwer";"Gut untersucht."
55;43;"mittelschwer";"Gut untersucht."
55;53;"geringfügig";"Nicht erwiesen"
55;120;"geringfügig";"Nicht erwiesen"
55;178;"schwerwiegend";"Sehr gut untersucht."
55;180;"geringfügig";"Nicht erwiesen"
55;10789;"geringfügig";"Nicht erwiesen"
57;169;"mittelschwer";"Begrenzt untersucht."
57;10025;"mittelschwer";"Gut untersucht."
57;12103;"mittelschwer";"Nicht erwiesen"
58;9;"geringfügig";"Gut untersucht."
58;63;"mittelschwer";"Nicht erwiesen"
58;122;"mittelschwer";"Begrenzt untersucht."
58;170;"mittelschwer";"Nicht erwiesen"
58;413;"mittelschwer";"Begrenzt untersucht."
58;475;"mittelschwer";"Begrenzt untersucht."
58;10196;"schwerwiegend";"Begrenzt untersucht."
58;10864;"Vorsicht";"Nicht erwiesen"
58;12840;"mittelschwer";"Begrenzt untersucht."
59;22;"mittelschwer";"Begrenzt untersucht."
59;57;"mittelschwer";"Begrenzt untersucht."
59;136;"schwerwiegend";"Begrenzt untersucht."
59;139;"mittelschwer";"Gut untersucht."
63;4;"mittelschwer";"Nicht erwiesen"
63;9;"geringfügig";"Begrenzt untersucht."
63;10;"geringfügig";"Begrenzt untersucht."
63;31;"mittelschwer";"Sehr gut untersucht."
63;43;"mittelschwer";"Gut untersucht."
63;69;"mittelschwer";"Gut untersucht."
63;73;"schwerwiegend";"Gut untersucht."
63;78;"mittelschwer";"Gut untersucht."
63;99;"geringfügig";"Begrenzt untersucht."
63;106;"mittelschwer";"Begrenzt untersucht."
63;107;"mittelschwer";"Begrenzt untersucht."
63;122;"schwerwiegend";"Nicht erwiesen"
63;139;"mittelschwer";"Gut untersucht."
63;157;"schwerwiegend";"Gut untersucht."
63;158;"Vorsicht";"Gut untersucht."
63;170;"mittelschwer";"Gut untersucht."
63;173;"mittelschwer";"Begrenzt untersucht."
63;177;"mittelschwer";"Begrenzt untersucht."
63;180;"schwerwiegend";"Sehr gut untersucht."
63;186;"mittelschwer";"Begrenzt untersucht."
63;189;"Vorsicht";"Begrenzt untersucht."
63;202;"mittelschwer";"Begrenzt untersucht."
63;205;"mittelschwer";"Begrenzt untersucht."
63;206;"mittelschwer";"Gut untersucht."
63;209;"mittelschwer";"Sehr gut untersucht."
63;273;"mittelschwer";"Begrenzt untersucht."
63;309;"mittelschwer";"Begrenzt untersucht."
63;319;"mittelschwer";"Gut untersucht."
63;321;"mittelschwer";"Nicht erwiesen"
63;335;"mittelschwer";"Begrenzt untersucht."
63;339;"mittelschwer";"Gut untersucht."
63;349;"mittelschwer";"Gut untersucht."
63;395;"mittelschwer";"Begrenzt untersucht."
63;426;"mittelschwer";"Begrenzt untersucht."
63;428;"mittelschwer";"Begrenzt untersucht."
63;492;"geringfügig";"Begrenzt untersucht."
63;10004;"mittelschwer";"Nicht erwiesen"
63;10110;"mittelschwer";"Gut untersucht."
63;10142;"mittelschwer";"Begrenzt untersucht."
63;10165;"mittelschwer";"Begrenzt untersucht."
63;10225;"schwerwiegend";"Sehr gut untersucht."
63;10293;"mittelschwer";"Begrenzt untersucht."
63;10311;"schwerwiegend";"Sehr gut untersucht."
63;10386;"mittelschwer";"Begrenzt untersucht."
63;10388;"mittelschwer";"Begrenzt untersucht."
63;10594;"schwerwiegend";"Sehr gut untersucht."
63;10622;"mittelschwer";"Begrenzt untersucht."
63;10698;"mittelschwer";"Begrenzt untersucht."
63;10790;"mittelschwer";"Gut untersucht."
63;10896;"mittelschwer";"Begrenzt untersucht."
63;11248;"geringfügig";"Begrenzt untersucht."
63;11469;"mittelschwer";"Gut untersucht."
63;11610;"geringfügig";"Begrenzt untersucht."
63;12002;"mittelschwer";"Begrenzt untersucht."
63;12153;"mittelschwer";"Gut untersucht."
63;12161;"schwerwiegend";"Nicht erwiesen"
63;12197;"geringfügig";"Gut untersucht."
63;12262;"mittelschwer";"Begrenzt untersucht."
63;12307;"mittelschwer";"Gut untersucht."
63;12308;"mittelschwer";"Gut untersucht."
63;12323;"mittelschwer";"Begrenzt untersucht."
63;12444;"mittelschwer";"Begrenzt untersucht."
63;12445;"mittelschwer";"Gut untersucht."
63;12446;"mittelschwer";"Begrenzt untersucht."
63;12448;"mittelschwer";"Gut untersucht."
63;12451;"geringfügig";"Begrenzt untersucht."
63;12454;"geringfügig";"Gut untersucht."
63;12457;"geringfügig";"Begrenzt untersucht."
63;12626;"Vorsicht";"Begrenzt untersucht."
63;12799;"mittelschwer";"Nicht erwiesen"
63;12840;"mittelschwer";"Begrenzt untersucht."
64;43;"schwerwiegend";"Gut untersucht."
66;30;"mittelschwer";"Begrenzt untersucht."
66;190;"geringfügig";"Nicht erwiesen"
66;204;"mittelschwer";"Nicht erwiesen"
67;31;"mittelschwer";"Begrenzt untersucht."
67;101;"mittelschwer";"Begrenzt untersucht."
67;201;"mittelschwer";"Begrenzt untersucht."
67;10152;"geringfügig";"Begrenzt untersucht."
67;10353;"geringfügig";"Gut untersucht."
67;10533;"geringfügig";"Begrenzt untersucht."
68;29;"mittelschwer";"Nicht erwiesen"
69;9;"mittelschwer";"Begrenzt untersucht."
69;33;"schwerwiegend";"Sehr gut untersucht."
69;70;"mittelschwer";"Begrenzt untersucht."
69;74;"mittelschwer";"Gut untersucht."
69;99;"geringfügig";"Begrenzt untersucht."
69;102;"mittelschwer";"Gut untersucht."
69;107;"mittelschwer";"Begrenzt untersucht."
69;110;"mittelschwer";"Begrenzt untersucht."
69;125;"mittelschwer";"Begrenzt untersucht."
69;146;"mittelschwer";"Begrenzt untersucht."
69;158;"Vorsicht";"Begrenzt untersucht."
69;172;"mittelschwer";"Nicht erwiesen"
69;180;"mittelschwer";"Begrenzt untersucht."
69;311;"mittelschwer";"Gut untersucht."
69;328;"mittelschwer";"Begrenzt untersucht."
69;382;"mittelschwer";"Begrenzt untersucht."
69;416;"mittelschwer";"Nicht erwiesen"
69;428;"geringfügig";"Begrenzt untersucht."
69;452;"mittelschwer";"Begrenzt untersucht."
69;466;"schwerwiegend";"Sehr gut untersucht."
69;469;"mittelschwer";"Begrenzt untersucht."
69;481;"mittelschwer";"Begrenzt untersucht."
69;10004;"mittelschwer";"Gut untersucht."
69;10025;"mittelschwer";"Begrenzt untersucht."
69;10034;"mittelschwer";"Begrenzt untersucht."
69;10094;"Vorsicht";"Begrenzt untersucht."
69;10180;"schwerwiegend";"Gut untersucht."
69;10199;"mittelschwer";"Begrenzt untersucht."
69;10205;"mittelschwer";"Begrenzt untersucht."
69;10225;"mittelschwer";"Sehr gut untersucht."
69;10311;"mittelschwer";"Sehr gut untersucht."
69;10331;"mittelschwer";"Begrenzt untersucht."
69;10353;"mittelschwer";"Gut untersucht."
69;10397;"mittelschwer";"Begrenzt untersucht."
69;10420;"mittelschwer";"Gut untersucht."
69;10421;"schwerwiegend";"Gut untersucht."
69;10692;"mittelschwer";"Begrenzt untersucht."
69;10715;"mittelschwer";"Begrenzt untersucht."
69;10747;"mittelschwer";"Begrenzt untersucht."
69;10790;"mittelschwer";"Begrenzt untersucht."
69;10985;"geringfügig";"Begrenzt untersucht."
69;11028;"mittelschwer";"Begrenzt untersucht."
69;11944;"Vorsicht";"Begrenzt untersucht."
69;12112;"mittelschwer";"Gut untersucht."
69;12191;"geringfügig";"Begrenzt untersucht."
69;12197;"mittelschwer";"Gut untersucht."
69;12256;"schwerwiegend";"Gut untersucht."
