"ID";"Hersteller";"Postleitzahl";"Stadt";"Straße und Hausnummer"
483;"Südmedica GmbH, Chem.-pharmazeutische Fabrik";"";"";""
485;"SymbioPharm GmbH";"35745";"Herborn";"Auf den Lüppen 10"
489;"TAD Pharma GmbH";"27472";"Cuxhaven";"Heinz-Lohmann-Straße 5"
494;"Temmler Pharma GmbH";"35039";"Marburg";"Temmlerstr. 2"
501;"Töpfer GmbH";"87463";"Dietmannsried";"Heisinger Straße 6"
502;"Togal Werk AG";"80333";"München";"Theatinerstr. 15"
505;"Trommsdorff GmbH & Co. KG";"52477";"Alsdorf";"Trommsdorffstr. 2-6"
509;"UCB Pharma GmbH";"40789";"Monheim";"Alfred-Nobel-Str. 10"
512;"Ursapharm Arzneimittel GmbH";"66129";"Saarbrücken";"Industriestraße 35"
514;"Verla-Pharm Arzneimittel GmbH & Co KG";"82327";"Tutzing";"Hauptstraße 98"
515;"vitOrgan Arzneimittel GmbH";"73760";"Ostfildern";"Brunnwiesenstr. 21"
516;"Weber & Weber GmbH & Co. KG";"82266";"Inning";"Herrschinger Str. 33"
518;"WALA Heilmittel GmbH";"73087";"Bad Boll/Eckwälden";"Dorfstraße 1"
524;"Weleda AG";"73525";"Schwäbisch-Gmünd";"Möhlerstr. 3"
528;"Procter & Gamble GmbH";"65824";"Schwalbach";"Sulzbacher Str. 40-50"
530;"Wiedemann Pharma GmbH";"82541";"Münsing-Ambach";"Pilotyweg 14"
532;"Dr. Winzer Pharma GmbH";"13581";"Berlin";"Brunsbütteler Damm 165-173"
535;"McNeil GmbH & Co. oHG";"41470";"Neuss";"Raiffeisenstr. 9"
536;"WÖRWAG Pharma GmbH & Co. KG";"71034";"Böblingen";"Calwer Str. 7"
537;"Dr. August Wolff GmbH & Co. KG Arzneimittel";"33611";"Bielefeld";"Sudbrackstrasse 56"
542;"Fritz Zilly GmbH";"76534";"Baden-Baden";"Eckbergstraße 18"
550;"Menicon GmbH Kontaktlinsen";"63069";"Offenbach";"Odenwaldring 44"
556;"Johannes Bürger Ysatfabrik GmbH";"38667";"Bad Harzburg";"Herzog-Julius-Str. 83"
561;"Pharmacia GmbH";"10785";"Berlin";"Linkstr. 10"
563;"gepepharm GmbH";"53773";"Hennef";"Josef-Dietzgen-Str. 3"
566;"Galderma Laboratorium GmbH";"40211";"Düsseldorf";"Toulouser Allee 23a"
568;"L Oreal Deutschland GmbH Geschäftsbereich La Roche-Posay";"40476";"Düsseldorf";"Johannstr. 1"
570;"Rotexmedica GmbH Arzneimittelwerk";"22946";"Trittau";"Bunsenstr. 4"
571;"Dibropharm GmbH Distribution & Co. KG";"76532";"Baden-Baden";"Gaisbühlstr. 5a"
573;"Evers GmbH & Co KG, Pharmazeutische Fabrik";"25421";"Pinneberg";"Siemensstr. 4"
576;"RIEMSER Pharma GmbH";"17493";"Greifswald-Insel Riems";"An der Wiek 7"
579;"Bad Heilbrunner Naturheilmittel GmbH & Co. KG";"83670";"Bad Heilbrunn";"Am Krebsenbach 5-7"
582;"Kyowa Kirin GmbH";"40549";"Düsseldorf";"Monschauer Str. 1"
587;"Dronania pharmaceuticals GmbH";"86825";"Bad Wörishofen";"Karl-Benz-Str. 3"
588;"Dr. Friedrich Eberth Arzneimittel GmbH";"92289";"Ursensollen";"Am Bahnhof 2"
591;"Infirmarius GmbH";"73037";"Göppingen";"Daimlerstr. 19-21"
595;"Helixor Heilmittel GmbH";"72348";"Rosenfeld";"Fischermühle 1"
607;"Homöopathisches Laboratorium Alexander Pflüger GmbH & Co. KG";"33378";"Rheda-Wiedenbrück";"Röntgenstr. 4"
608;"Pharma Liebermann GmbH";"89423";"Gundelfingen";"Hauptstr. 27"
613;"Pharma Schwörer GmbH";"69257";"Wiesenbach";"Goethestr. 29"
615;"Syxyl GmbH & Co. KG";"50670";"Köln";"Gereonsmühlengasse 5"
617;"Kneipp GmbH";"97084";"Würzburg";"Winterhäuser Str. 85"
622;"GALENpharma GmbH";"24109";"Kiel";"Wittland 13"
625;"pharma-stern GmbH";"22876";"Wedel";"Tinsdaler Weg 183"
636;"Nestmann Pharma GmbH";"96199";"Zapfendorf";"Weiherweg 17"
637;"Pierre Fabre Dermo-Kosmetik GmbH GB - Avene und Beautycare";"79111";"Freiburg";"Jechtingerstr. 13"
640;"ABNOBA GmbH";"75177";"Pforzheim";"Hohenzollernstr. 16"
645;"Galactopharm Dr. Sanders GmbH & Co. KG";"49751";"Sögel/Emsland";"Südstraße 10"
646;"Harras Pharma Curarina Arzneimittel GmbH";"81373";"München";"Am Harras 15"
651;"Orion Pharma GmbH";"22607";"Hamburg";"Notkestraße 9"
658;"Pharma-Biologica GmbH";"67549";"Worms";"Holderbaumstr. 19"
661;"REGENAPLEX GmbH";"78467";"Konstanz";"Robert-Bosch-Str. 3"
662;"PEKANA-NATURHEILMITTEL® GmbH";"88353";"Kisslegg";"Raiffeisenstr. 15"
663;"Dr. Reckeweg & Co. GmbH Pharmazeutische Fabrik";"64625";"Bensheim";"Berliner Ring 22"
666;"Staufen-Pharma GmbH & Co. KG";"73033";"Göppingen";"Bahnhofstr. 35"
670;"Astrid Twardy GmbH";"85774";"Unterföhring";"Feringastraße 4"
671;"Alsitan GmbH";"86926";"Greifenberg";"Gewerbering 6"
673;"Polypharm GmbH";"64293";"Darmstadt";"Otto-Hesse-Str. 19"
676;"Amgen GmbH";"80992";"München";"Riesstraße 24"
677;"Nephrologische Präparate Dr. Volker Steudle";"35440";"Linden";"Giessener Str. 115"
680;"Dermapharm AG";"82031";"Grünwald";"Lil-Dagover-Ring 7"
686;"Louis Widmer GmbH";"79618";"Rheinfelden";"Grossmattstrasse 11"
689;"medphano Arzneimittel GmbH";"15562";"Rüdersdorf";"Maienbergstraße 10-12"
698;"Tussin Pharma GmbH";"35274";"Kirchhain";"Menchestr. 22 A"
701;"Dyckerhoff Pharma GmbH & Co. KG";"50739";"Köln";"Robert-Perthel-Straße 49"
703;"Gothaplast Verbandpflasterfabrik GmbH";"99867";"Gotha";"Hans-C.Wirz-Str. 2"
705;"LEO Pharma GmbH";"63263";"Neu-Isenburg";"Frankfurter Straße 233, A3"
717;"DR. KADE/BESINS Pharma GmbH";"12277";"Berlin";"Rigistraße 2"
718;"curasan AG";"63801";"Kleinostheim";"Lindigstraße 4"
726;"Hermes Arzneimittel GmbH";"82049";"Großhesselohe";"Georg-Kalb-Straße 5-8"
734;"Merck Selbstmedikation GmbH";"64293";"Darmstadt";"Frankfurter Str. 250"
737;"Holsten Pharma GmbH";"6052";"Frankfurt am Main";"Hahnstr. 31-35"
751;"Jukunda Dr. Ludwig Schmitt GmbH & Co. KG";"82142";"Planegg";"Bahnhofstr. 92"
752;"Holthaus Medical GmbH & Co. KG";"42897";"Remscheid";"Karlstr. 8 b"
760;"SALUS Pharma GmbH";"83052";"Bruckmühl";"Bahnhofstr. 24"
761;"STADAPHARM GmbH";"61118";"Bad Vilbel";"Stadastr. 2-18"
762;"Sanorell Pharma GmbH & Co KG";"77815";"Bühl";"Hurststraße 31"
765;"betapharm Arzneimittel GmbH";"86156";"Augsburg";"Kobelweg 95"
767;"acis Arzneimittel GmbH";"82031";"Grünwald";"Lil-Dagover-Ring 7"
792;"Deutsche Olbas GmbH";"71106";"Magstadt";"Hutwiesenstra. 14"
797;"Rodisma-Med Pharma GmbH";"51149";"Köln";"Kölner Str. 48"
798;"Beethoven-Pharma Dr. Wiemann GmbH";"90455";"Nürnberg";"Steinthalstr. 1"
809;"PG-Naturpharma GmbH";"83533";"Edling";"Am Gewerbering 4/6"
813;"Pfizer Consumer Healthcare GmbH";"10785";"Berlin";"Linkstr. 10"
819;"Penta Arzneimittel GmbH";"92551";"Stulln";"Werksstraße 3"
829;"Dr. K. Hollborn & Söhne GmbH & Co KG";"04347";"Leipzig";"Brahestr. 13"
842;"Teclapharm GmbH";"21335";"Lüneburg";"Heiligenthaler Str. 4"
861;"DEXCEL Pharma GmbH";"63755";"Alzenau";"Carl-Zeiss-Str. 2"
881;"AbZ-Pharma GmbH";"89079";"Ulm";"Graf-Arco-Str. 3"
886;"ALLERGIKA Pharma GmbH";"82515";"Wolfratshausen";"Hans-Urmiller-Ring 58"
887;"Mylan dura GmbH";"64295";"Darmstadt";"Wittichstr. 6"
889;"CSL Behring GmbH";"65795";"Hattersheim";"Philipp-Reis-Str. 2"
896;"Fette Pharma AG";"50996";"Köln";"Uferstr. 45"
906;"Spenglersan GmbH Pharmazeutische Präparate";"77815";"Bühl";"Steinfeldweg 13"
916;"Artegodan GmbH";"29439";"Lüchow";"Wendlandstraße 1"
927;"Bauerfeind AG Geschäftsbereich Orthopädie";"07937";"Zeulenroda-Triebes";"Triebeser Str. 16"
928;"DEVESA Dr. Reingraber GmbH & Co. KG";"76461";"Muggensturm";"Heinkelstraße 8a"
932;"Ipsen Pharma GmbH";"76275";"Ettlingen";"Wiily-Brandt-Str. 3"
936;"Mylan Healthcare GmbH";"30173";"Hannover";"Freundallee 9A"
946;"Novartis Pharma GmbH";"90429";"Nürnberg";"Roonstr. 25"
950;"Drossapharm GmbH";"79539";"Lörrach";"Wallbrunnstr. 24"
952;"Euro OTC Pharma GmbH";"59199";"Bönen";"Edisonstr. 6"
955;"Biogen GmbH";"85737";"Ismaning";"Carl-Zeiss-Ring 6"
956;"RubiePharm Vertriebs GmbH";"36396";"Steinau an der Straße";"Brüder-Grimm-Str. 121"
963;"Eisai GmbH";"60528";"Frankfurt am Main";"Lyoner Straße 36"
964;"1 A Pharma GmbH";"82041";"Oberhaching";"Keltenring 1-3"
965;"sigma-tau Arzneimittel GmbH";"80538";"München";"Liebherrstr. 22"
976;"MIP Pharma GmbH";"66440";"Blieskastel";"Kirkeler Straße 41"
977;"mibe GmbH";"06796";"Brehna";"Münchener Str. 15"
981;"Carl Zeiss Meditec AG";"10589";"Berlin";"Max-Dohrn-Str. 8-10"
10069;"Pharma Wernigerode GmbH";"38855";"Wernigerode";"Dornbergsweg 35"
10071;"esparma  GmbH";"39171";"Sülzetal / OT Osterweddingen";"Bielefelder Str. 1"
10076;"Serumwerk Bernburg AG";"06406";"Bernburg";"Hallesche Landstr. 105 b"
10086;"Jenapharm GmbH & Co. KG";"07745";"Jena";"Otto-Schott-Straße 15"
10094;"APOGEPHA Arzneimittel GmbH";"01309";"Dresden";"Kyffhäuserstr. 27"
10095;"Li-iL GmbH";"01139";"Dresden";"Leipziger Straße 300"
10107;"Berlin-Chemie AG";"12489";"Berlin";"Glienicker Weg 125"
10109;"Octapharma GmbH";"40764";"Langenfeld";"Elisabeth-Selbert-Str. 11"
10111;"Shire Deutschland GmbH";"10117";"Berlin";"Friedrichstrasse 149"
10116;"KSK-Pharma Vertriebs AG";"76327";"Berghausen";"Finkenstr. 1"
10120;"kohlpharma GmbH";"66663";"Merzig";"Im Holzhau 8"
10121;"MTK Pharma Vertriebs GmbH";"66663";"Merzig";"Im Holzhau 8"
10122;"Laboklinika Produktions- und Vertriebsgesellschaft mbH";"72108";"Rottenburg";"Rappenberghalde 33"
10123;"Emra-Med Arzneimittel GmbH";"22946";"Trittau";"Otto-Hahn-Str. 11"
10126;"Orifarm GmbH";"51381";"Leverkusen";"Fixheider Str. 4"
10127;"Eye Care Kirsten Schroeder E.K.";"71638";"Ludwigsburg";"Solitudestr. 40"
10130;"Weko-Pharma GmbH";"54331";"Pellingen";"Hochwaldblick 3-4"
10134;"Johnson & Johnson GmbH - CHC";"41470";"Neuss";"Johnson & Johnson Platz 2"
10138;"Pharma Peter GmbH";"22419";"Hamburg";"Tarpenring 12"
10141;"Obstsaftkelterei Josef Möller GmbH & Co. KG";"45659";"Recklinghausen";"Forststr. 7"
10144;"BDS GmbH";"86946";"Pflugdorf";"Gewerbestraße 4"
10148;"A.C.A. Müller ADAG Pharma AG";"78244";"Gottmadingen";"Hauptstr. 99"
10151;"Pharma Gerke Arzneimittelvertriebs GmbH";"41516";"Grevenbroich";"Friedrich-Bergius-Str. 13"
10152;"Beragena Arzneimittel GmbH";"76532";"Baden-Baden";"Rheinstr. 93-95"
10158;"Nutricia GmbH";"91052";"Erlangen";"Allee am Röthelheimpark 11"
10162;"Mevita Handels GmbH";"13127";"Berlin";"Eddastr. 43"
10166;"H&S Tee-Gesellschaft mbH & Co. KG";"88079";"Kressbronn";"Heidachstr. 62"
10174;"Abbott Diabetes Care Abbott GmbH & Co. KG";"65205";"Wiesbaden";"Max-Planck-Ring 2"
10177;"MIT Gesundheit GmbH";"47533";"Kleve";"Thaerstraße 4a"
10182;"Sunstar Deutschland GmbH";"79677";"Schönau";"Aiterfeld 1"
10186;"Apomix PKH Pharm. Labor GmbH";"06120";"Halle/Saale";"Daniel-Vorländer-Str. 2"
10194;"Seratec Gesellschaft für Biotechnologie mbH";"37079";"Göttingen";"Ernst-Ruhstrat-Str. 5"
10205;"Aframed GmbH Pharmazeutische Präparate";"86152";"Augsburg";"Peutinger Str. 3"
10211;"Queisser Pharma GmbH & Co. KG";"24941";"Flensburg";"Schleswiger Str. 74"
10215;"Hipp GmbH & Co. Vertrieb KG";"85276";"Pfaffenhofen";"Georg-Hipp-Str. 7"
10223;"Cancernova GmbH";"82031";"Grünwald";"Lil-Dagover-Ring 7"
10230;"Lyomark Pharma GmbH";"82041";"Oberhachung";"Keltenring 17"
10242;"Resorba Medical GmbH";"90475";"Nürnberg";"Am Flachmoor 16"
10243;"Ribosepharm division Hikma Pharma GmbH";"82152";"Martinsried";"Lochhamer Str. 13"
10245;"Bayer Vital GmbH Selbstmedikations-/Consumer-Care-Prod.";"51368";"Leverkusen";"Kaiser-Wilhelm-Allee Gebäude K 56"
10252;"proVita GmbH Apotheken-Marketing und -Handels GmbH";"82335";"Berg";"Seestr. 76"
10254;"Sanum-Kehlbeck GmbH & Co. KG";"27318";"Hoya";"Hasseler Steinweg 9-12"
10264;"KyraMed Biomol Naturprodukte GmbH";"35440";"Linden";"Waldstr. 67b"
10269;"Schupp GmbH & Co. KG Med. Badezusätze, Körperpflegemittel";"72280";"Dornstetten";""
10270;"Bergland-Pharma GmbH & Co. KG";"87751";"Heimertingen";"Alpenstraße 15"
10280;"Friedrich KREMER jr. Biolog. Pharmazeutika u. Praxisbedarf";"42277";"Wuppertal";"Tütersburg 37"
10288;"A-1 Dental Beyer + Hämmerich";"34131";"Kassel";"Landgraf-Karl-Str. 38"
10296;"Alhopharm Arzneimittel GmbH";"35614";"Aßlar-Werdorf";"Alte Chaussee 2"
10300;"ALLPHARM Vertriebs-GmbH";"64409";"Messel";"Langgasse 63"
10310;"AURICA Naturheilmittel u. Naturwaren GmbH";"66773";"Schwalbach/Elm";"Püttlinger Str. 121"
10330;"Bindergass-Apotheke";"90403";"Nürnberg";"Theresienplatz 2-4"
10331;"Bio-Diät-Berlin GmbH";"12169";"Berlin";"Selerweg 43-45"
10335;"BIOSUN GmbH";"35641";"Schwalbach";"Steinstr. 5"
